info,first_candidate,council,region,county_number,full_name,party
"Громадянка України, народилася 30.07.1969 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Апарат Верховної Ради України, Помічник-консультант народного депутата України П.В.Юрчишина, місце проживання: с. Козятин.,Козятинський р-н. Вінницька обл.,",(Марченко Костянтин Володимирович),Козятинська міська рада,Вінницька область,1,КРИЛОВА ЛІЛІЯ АНАТОЛІЇВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 27.12.1971 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Локомотивне депо, Контролер слюсарної роботи, місце проживання: м. Козятин, Вінницька обл.",(Якимова Надія Іванівна),Козятинська міська рада,Вінницька область,1,ГРАБОВА ЛЮДМИЛА ОЛЕКСАНДРІВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянка України, народилася 03.02.1975 р., освіта вища, безпартійна, Козятинська підстанція Хмільницької станції швидкої допомоги, Завідуюча, місце проживання: с. Козятин, Козятинський р-н., Вінницької обл.",(Ясний Павло Геннадійович),Козятинська міська рада,Вінницька область,1,ЛУКАЩУК ЛАРИСА ПЕТРІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
"Громадянка України, народилася 27.09.1974 р., освіта загальна середня, член Політичної партії ""Громадянська позиція"", тимчасово не працює, місце проживання: м. Козятин, Вінницька обл.",(Човган Олександр Юрійович),Козятинська міська рада,Вінницька область,1,ЮЗВЕНКО ЛЮДМИЛА ПАВЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянка України, народилася 13.01.1974 р., освіта вища, член Політичної партії ""Європейська партія України"", Козятинська спеціалізована школа І-ІІІ ст. № 1, вчитель, місце проживання: м. Козятин, Вінницька обл.",(Мазур Ярослава Вікторівна),Козятинська міська рада,Вінницька область,1,КОЛОМІЙЧЕНКО ОЛЬГА ГРИГОРІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА ПАРТІЯ УКРАЇНИ"""
"Громадянка України, народилася 23.09.1981 р., освіта вища, член Політичної партії ""КОНКРЕТНИХ СПРАВ"", РКП ""Проектно-виробничий, Технік-будівельник, місце проживання: м.Козятин, Вінницька обл.",(Радіна Таїсія Борисівна),Козятинська міська рада,Вінницька область,1,НАБОКОВА АЛЛА БОРИСІВНА,"ПОЛІТИЧНА ПАРТІЯ ""КОНКРЕТНИХ СПРАВ"""
"Громадянин України, народився 18.03.1966 р., освіта вища, член Політичної партії ""Наш край"", Відділкова лікарня ст. Козятин, Лікар, місце проживання: м. Козятин, Вінницька обл.",(Гвелесіані Олександр Георгійович),Козятинська міська рада,Вінницька область,1,МОЙСЮК ІГОР ВОЛОДИМИРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянка України, народилася 09.11.1965 р., освіта професійно-технічна, безпартійна, тимчасово не працює, місце проживання: м. Козятин, Вінницька обл.",(Лівшиць Ігор Йосипович),Козятинська міська рада,Вінницька область,1,КОЛОМІЄЦЬ СВІТЛАНА ІВАНІВНА,"ПОЛІТИЧНА ПАРТІЯ ""НОВА ДЕРЖАВА"""
"Громадянка України, народилася 30.04.1987 р., освіта вища, безпартійна, Козятинська РДА, Інспектор загально за відділу, місце проживання: с. Козятин, Козятинський р-н., Вінницька обл.",(Малащук Євгеній Миколайович),Козятинська міська рада,Вінницька область,1,КОЛЕСНИК ІРИНА МИКОЛАЇВНА,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
,(Лазарчук Антоніна Володимирівна),Козятинська міська рада,Вінницька область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
"Громадянин України, народився 13.01.1983 р., освіта вища, безпартійний, БПК ""Аметист!"", Водій, місце проживання: с. Козятин, Козятинський р-н., Вінницька обл.",(Рожук Вадим Вадимович),Козятинська міська рада,Вінницька область,1,КОЛОМІЄЦЬ ЮРІЙ ОЛЕКСІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ЛЮДЕЙ"""
,(),Козятинська міська рада,Вінницька область,1,,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
"Громадянка України, народилася 05.04.1969 р., освіта вища, безпартійна, Відокремлений підрозділ ""Вокзал ст.Козятин"" Державного територіального галузевого об’єднання ""Південно-Західна залізниця"", Головний бухгалтер, місце проживання: м. Козятин, Вінницька обл.",(Дацюк Ольга Олексіївна),Козятинська міська рада,Вінницька область,1,ЩЕПЕТОВА ОЛЕНА ВОЛОДИМИРІВНА,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянин України, народився 05.08.1963 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Приватне акціонерне товариство ""Калинівський Агрохім"", Голова правління, місце проживання: м.Козятин., Вінницька обл.",(Марченко Костянтин Володимирович),Козятинська міська рада,Вінницька область,2,ЦЬОМА ІВАН ІВАНОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
