info,first_candidate,council,region,county_number,full_name,party
"Громадянка України, народилася 06.05.1966 р., освіта вища, член Аграрної партії України, Тульчинський технікум ветеринарної медицини БНАУ, Викладач, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл",(Моркляк Михайло Іванович),Тульчинська міська рада,Вінницька область,1,ВИЛЯНСЬКА СВІТЛАНА АНАТОЛІЇВНА,АГРАРНА ПАРТІЯ УКРАЇНИ
"Громадянин України, народився 25.05.1968 р., освіта вища, безпартійний, Приватне мале підприємство ""ВЕЛС"", Директор, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл.",(Процепко Віталій Миколайович),Тульчинська міська рада,Вінницька область,1,БОНДАР ВЯЧЕСЛАВ ВАСИЛЬОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 29.04.1969 р., освіта вища, безпартійна, Тульчинське училище культури, викладач української мови, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл",(Корчовський Андрій Данилович),Тульчинська міська рада,Вінницька область,1,ГАНДЗЮК ЛЮДМИЛА ПЕТРІВНА,ПАРТІЯ ХРИСТИЯНСЬКО-ДЕМОКРАТИЧНИЙ СОЮЗ
"Громадянин України, народився 16.11.1969 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", пенсіонер МВС, місце проживання: м. Тульчин, Тульчинський р-н., Вінницька обл.",(Смолій Валентин Володимирович),Тульчинська міська рада,Вінницька область,1,ЦМОВЗ МИХАЙЛО ВАСИЛЬОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 21.05.1991 р., освіта вища, безпартійний, Тульчинська школа-інтернат, викладач тренер, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл.",(Богатюк Юрій Миколайович),Тульчинська міська рада,Вінницька область,1,ЛЄБЄДЄВ МИКОЛА ВАСИЛЬОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянка України, народилася 18.10.1965 р., освіта середня спеціальна, член Політичної партії ""ГРОМАДА І ЗАКОН"", м. Тульчин, Продавець, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл.",(Остропольський Руслан Михайлович),Тульчинська міська рада,Вінницька область,1,ЮХИМЧУК ЛЮБОВ ВАСИЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДА І ЗАКОН"""
"Громадянин України, народився 23.02.1972 р., освіта професійно-технічна, безпартійний, Тульчинські Електромережі, Бригадир контролерів, місце проживання: с. Нестерварка, Тульчинський р-н, Вінницька обл.",(Сметанський Володимир Анастасійович),Тульчинська міська рада,Вінницька область,1,КУЖЕЛЬ ВІТАЛІЙ ГРИГОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянка України, народилася 12.05.1977 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", Тульчинська ЗШ №1 І- ІІІ ст., вчитель, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл",(Швейбиш Юрій Ісаакович),Тульчинська міська рада,Вінницька область,1,РОМАНЕНКО ІННА МИХАЙЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Попівкер Геннадій Михайлович),Тульчинська міська рада,Вінницька область,1,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянка України, народилася 28.01.1967 р., освіта вища, безпартійна, ВПУ№41 м. Тульчина, Заступник директора з навчально-виробничої роботи, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл",(Моркляк Михайло Іванович),Тульчинська міська рада,Вінницька область,2,КУЦА ОКСАНА ВАСИЛІВНА,АГРАРНА ПАРТІЯ УКРАЇНИ
"Громадянин України, народився 20.07.1974 р., освіта вища, безпартійний, Фізична особа-підприємець, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл.",(Процепко Віталій Миколайович),Тульчинська міська рада,Вінницька область,2,КУТАСЕВИЧ ОЛЕКСАНДР ДМИТРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 02.01.1973 р., освіта вища, член Партії Християнсько-Демократичний Союз, тимчасово не працює, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл",(Корчовський Андрій Данилович),Тульчинська міська рада,Вінницька область,2,АЛЬПАШКІН ІГОР ОЛЕГОВИЧ,ПАРТІЯ ХРИСТИЯНСЬКО-ДЕМОКРАТИЧНИЙ СОЮЗ
"Громадянин України, народився 25.06.1939 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", пенсіонер, місце проживання: м. Тульчин, Тульчинський р-н., Вінницька обл.",(Смолій Валентин Володимирович),Тульчинська міська рада,Вінницька область,2,СИРОТА МИКОЛА ВАСИЛЬОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 16.04.1994 р., освіта вища, безпартійний, м. Вінниця ресторан ""Анастасія"", бармен-адміністратор, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл.",(Богатюк Юрій Миколайович),Тульчинська міська рада,Вінницька область,2,РИСКАЛЬЧУК ВАДИМ АНДРІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянка України, народилася 01.08.1978 р., освіта вища, член Політичної партії ""ГРОМАДА І ЗАКОН"", Підприємець, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл.",(Остропольський Руслан Михайлович),Тульчинська міська рада,Вінницька область,2,ЯСЬКОВА ІРИНА МИХАЙЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДА І ЗАКОН"""
,(Сметанський Володимир Анастасійович),Тульчинська міська рада,Вінницька область,2,,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянка України, народилася 12.02.1971 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", Дитячий навчальний заклад №1, Вихователь, місце проживання: м. Тульчин, Тульчинський р-н, Вінницька обл",(Швейбиш Юрій Ісаакович),Тульчинська міська рада,Вінницька область,2,КІЧКА НАДІЯ ВАСИЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
