info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 23.02.1963 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Дніпродзержинська міська рада, Заступник міського голови, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Шкуренко Наталія Юріївна),Дніпродзержинська міська рада,Дніпропетровська область,1,КИТАЄВ ЄВГЕН АНАТОЛІЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 03.03.1974 р., освіта вища, член Партії ""Відродження"", Приватне підприємство ""Аргопром-2000"", директор, місце проживання: Дніпропетровська область, м.Дніпродзержинськ",(Боговик Сергій Леонідович),Дніпродзержинська міська рада,Дніпропетровська область,1,ДЕМЕНТЬЄВ ДМИТРО ВІТАЛІЙОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
,(Кисляк Леонід Миколайович),Дніпродзержинська міська рада,Дніпропетровська область,1,,"ПАРТІЯ ""ГРОМАДСЬКА СИЛА"""
,(Черненко Олександр Валентинович),Дніпродзержинська міська рада,Дніпропетровська область,1,,ПАРТІЯ ХРИСТИЯНСЬКО-ДЕМОКРАТИЧНИЙ СОЮЗ
"Громадянка України, народилася 27.08.1963 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", центр первинної медико-санітарноїдопомоги № 2, сестра медична, місце проживання: Дніпропетровська обл., м. Дніпродзержинськ, смт Карнаухівка",(Плахотнік Олександр Олегович),Дніпродзержинська міська рада,Дніпропетровська область,1,СТРЕМОУХ НАТАЛІЯ ТАРАСІВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 12.08.1972 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Смєлянєць Іван Анатолійович),Дніпродзержинська міська рада,Дніпропетровська область,1,САДОВОЙ СЕРГІЙ СТЕПАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ВІДРОДЖЕННЯ УКРАЇНИ"""
,(Залевський Олександр Юрійович),Дніпродзержинська міська рада,Дніпропетровська область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 14.04.1983 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"", Фізична особа підприємець, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Беспальчук Максим Григорович),Дніпродзержинська міська рада,Дніпропетровська область,1,МІРОШНИЧЕНКО ЄВГЕН ВОЛОДИМИРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
"Громадянин України, народився 18.09.1956 р., освіта загальна середня, безпартійний, тимчасово не працює, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Лісничий Ігор Станіславович),Дніпродзержинська міська рада,Дніпропетровська область,1,МАЗАЛОВ СТАНІСЛАВ МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Олянюк Олександр Сафронович),Дніпродзержинська міська рада,Дніпропетровська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
"Громадянин України, народився 08.08.1972 р., освіта вища, член Політичної Партії ""Опозиційний блок"", Публічне акціонерне товариство ""ДМКД"", Начальник сортопрокатного цеху, місце проживання: Дніпропетровська обл.., м.Дніпродзержинськ",(Павлюк Сергій Михайлович),Дніпродзержинська міська рада,Дніпропетровська область,1,ГЕЙМУР КОСТЯНТИН ГЕОРГІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Нєстєров Олексій Геннадійович),Дніпродзержинська міська рада,Дніпропетровська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""
"Громадянин України, народився 02.10.1976 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", ТОВ ""Геліус ЛТД"", Водій, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Купрій Віталій Миколайович),Дніпродзержинська міська рада,Дніпропетровська область,1,ДРОБОТУЩЕНКО СЕРГІЙ МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Марчук Дмитро Миколайович),Дніпродзержинська міська рада,Дніпропетровська область,1,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянин України, народився 26.04.1980 р., освіта професійно-технічна, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", тимчасово не працює, Воїн АТО, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Шкуренко Наталія Юріївна),Дніпродзержинська міська рада,Дніпропетровська область,2,ДОРОШ ОЛЕКСАНДР ОЛЕКСАНДРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 09.02.1954 р., освіта вища, член Партії ""Відродження"", ПАТ ""ЄВРАЗ Дніпродзержинський КХЗ"", директор з загальних питань, місце проживання: Дніпропетровська область, м.Дніпродзержинськ",(Боговик Сергій Леонідович),Дніпродзержинська міська рада,Дніпропетровська область,2,ЗИКОВА НІНА ВОЛОДИМИРІВНА,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
,(Кисляк Леонід Миколайович),Дніпродзержинська міська рада,Дніпропетровська область,2,,"ПАРТІЯ ""ГРОМАДСЬКА СИЛА"""
"Громадянин України, народився 04.01.1946 р., освіта вища, безпартійний, Публічне акціонерне товариство ""Євраз Дніпродзержинський коксохімічний завод"", Голова первинної організації профспілки трудящих металургійної та гірничодобувної промисловості України, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Черненко Олександр Валентинович),Дніпродзержинська міська рада,Дніпропетровська область,2,ПОЛОМАНИЙ ВАСИЛЬ ЗАХАРОВИЧ,ПАРТІЯ ХРИСТИЯНСЬКО-ДЕМОКРАТИЧНИЙ СОЮЗ
"Громадянин України, народився 24.06.1971 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", фізична особа -підприємець, місце проживання: Дніпропетровська обл., м. Дніпродзержинськ",(Плахотнік Олександр Олегович),Дніпродзержинська міська рада,Дніпропетровська область,2,ПЕТРОСЯН РУДІК ГАРИБОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 09.04.1978 р., освіта професійно-технічна, безпартійний, тимчасово не працює, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Смєлянєць Іван Анатолійович),Дніпродзержинська міська рада,Дніпропетровська область,2,СЕРЧАНСЬКИЙ РОМАН СЕРГІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ВІДРОДЖЕННЯ УКРАЇНИ"""
"Громадянин України, народився 11.11.1990 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", КЗСЗШ № 35, Вчитель історії, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Залевський Олександр Юрійович),Дніпродзержинська міська рада,Дніпропетровська область,2,ЗАНКОВ ДМИТРО АНАТОЛІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 06.07.1970 р., освіта загальна середня, безпартійний, Фізична особа - підприємець, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Беспальчук Максим Григорович),Дніпродзержинська міська рада,Дніпропетровська область,2,МАРКІН ВІТАЛІЙ ВІКТОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
"Громадянка України, народилася 27.08.1962 р., освіта вища, безпартійна, КЗ Дніпродзержинська міська лікарня №4"" Дніпропетровської обласної ради, Головний лікар, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Лісничий Ігор Станіславович),Дніпродзержинська міська рада,Дніпропетровська область,2,БЕНЬКО СВІТЛАНА ГЕОРГІЇВНА,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Олянюк Олександр Сафронович),Дніпродзержинська міська рада,Дніпропетровська область,2,,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
"Громадянка України, народилася 06.11.1982 р., освіта вища, член Політичної Партії ""Опозиційний блок"", Реєстраційна служба Дніпродзержинського міського управління юстиції Дніпропетровської обл., Начальник, місце проживання: Дніпропетровська обл.., м.Дніпродзержинськ",(Павлюк Сергій Михайлович),Дніпродзержинська міська рада,Дніпропетровська область,2,КУЗЬМЕНКО ОЛЬГА ОЛЕКСАНДРІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
"Громадянин України, народився 30.12.1991 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""СОЦІАЛІСТИ"", тимчасово не працює, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Нєстєров Олексій Геннадійович),Дніпродзержинська міська рада,Дніпропетровська область,2,БУГАЙОВ АРТЕМ ОЛЕГОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""
"Громадянин України, народився 23.09.1970 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", ПАТ ""ДМКД"", Інженер, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Купрій Віталій Миколайович),Дніпродзержинська міська рада,Дніпропетровська область,2,КОРЯК ЕДУАРД МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
"Громадянин України, народився 10.09.1982 р., освіта вища, безпартійний, ТОВ ""ТД Магістраль"", Директор, місце проживання: Дніпропетровська обл., м. Дніпродзержинськ",(Марчук Дмитро Миколайович),Дніпродзержинська міська рада,Дніпропетровська область,2,ЧЕРНЕНКО ДМИТРО ПЕТРОВИЧ,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянка України, народилася 30.08.1969 р., освіта вища, безпартійна, СШ №24, Директор СШ №24, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Шкуренко Наталія Юріївна),Дніпродзержинська міська рада,Дніпропетровська область,3,КОТЕНКО ТЕТЯНА ГРИГОРІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 06.07.1958 р., освіта вища, член Партії ""Відродження"", Дніпродзержинський професійний ліцей, директор, місце проживання: Дніпропетровська область, м.Дніпродзержинськ",(Боговик Сергій Леонідович),Дніпродзержинська міська рада,Дніпропетровська область,3,ШКОЛЯР ВІКТОР ПАВЛОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
,(Кисляк Леонід Миколайович),Дніпродзержинська міська рада,Дніпропетровська область,3,,"ПАРТІЯ ""ГРОМАДСЬКА СИЛА"""
"Громадянин України, народився 26.02.1969 р., освіта професійно-технічна, безпартійний, Асоціація ""Багатопрофільнакомпанія""Спец-металургмонтаж"", Слюсар, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Черненко Олександр Валентинович),Дніпродзержинська міська рада,Дніпропетровська область,3,КОЗЛОВ АНДРІЙ ІВАНОВИЧ,ПАРТІЯ ХРИСТИЯНСЬКО-ДЕМОКРАТИЧНИЙ СОЮЗ
"Громадянин України, народився 01.03.1975 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", фізична особа -підприємець, місце проживання: Дніпропетровська обл., м. Дніпродзержинськ",(Плахотнік Олександр Олегович),Дніпродзержинська міська рада,Дніпропетровська область,3,МИРОНОВ ДМИТРО МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 11.10.1977 р., освіта професійно-технічна, безпартійний, тимчасово не працює, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Смєлянєць Іван Анатолійович),Дніпродзержинська міська рада,Дніпропетровська область,3,СЄРІК ЄВГЕН ЛЕОНІДОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ВІДРОДЖЕННЯ УКРАЇНИ"""
"Громадянин України, народився 12.02.1961 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Не працює, місце проживання: Дніпропетровська область, Петриківський район, с.Миколаївка",(Залевський Олександр Юрійович),Дніпродзержинська міська рада,Дніпропетровська область,3,КРИВЕНКО МИКОЛА ВАСИЛЬОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянка України, народилася 02.07.1983 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"", ДПІ ""Дніпродзержинськ-Цивільпроект"", юрисконсульт, місце проживання: Дніпропетровська область, м. Дніпродзержинськ",(Беспальчук Максим Григорович),Дніпродзержинська міська рада,Дніпропетровська область,3,ДЕМІШЕВА ОЛЕНА ВІКТОРІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
"Громадянин України, народився 29.04.1966 р., освіта вища, безпартійний, пенсіонер, місце проживання: Дніпропетровська область, с.Курилівка",(Лісничий Ігор Станіславович),Дніпродзержинська міська рада,Дніпропетровська область,3,ЧУПРИНА ГРИГОРІЙ ГРИГОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Олянюк Олександр Сафронович),Дніпродзержинська міська рада,Дніпропетровська область,3,,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
"Громадянин України, народився 26.12.1969 р., освіта вища, член Політичної Партії ""Опозиційний блок"", Фізична особа – підприємець, місце проживання: Дніпропетровська обл.., м.Дніпродзержинськ",(Павлюк Сергій Михайлович),Дніпродзержинська міська рада,Дніпропетровська область,3,ГРЕЧКА ОЛЕКСАНДР ВОЛОДИМИРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
