info,first_candidate,council,region,county_number,full_name,party
,(Ляшук Олег Олександрович),Орджонікідзевська міська рада,Дніпропетровська область,1,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 28.01.1961 р., освіта вища, член Партії ""Відродження"", ПАТ ""ОГЗК"", Шевченківський кар’єр, Начальник, місце проживання: м. Орджонікідзе, Дніпропетровська область.",(Сорокіна Людмила Миколаївна),Орджонікідзевська міська рада,Дніпропетровська область,1,ЧЕРНЯЄВ ІГОР ОЛЕКСІЙОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 11.03.1963 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Фізична особа підприємець, місце проживання: м. Орджонікідзе, Дніпропетровська область.",(Гончаренко Юлія Олексіївна),Орджонікідзевська міська рада,Дніпропетровська область,1,ПРОЦЕНКО ПЕТРО АНАТОЛІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Каширний Станіслав Андрійович),Орджонікідзевська міська рада,Дніпропетровська область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 04.02.1978 р., освіта вища, член Політичної Партії ""Опозиційний блок"", Фізична особа-підприємець, місце проживання: м.Кривий Ріг, Дніпропетровська область.",(Дяченко Наталія Василівна),Орджонікідзевська міська рада,Дніпропетровська область,1,РАІЛКО ОЛЕКСАНДР ВОЛОДИМИРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Носевич Дмитро Станіславович),Орджонікідзевська міська рада,Дніпропетровська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ЛЮДЕЙ"""
,(Фесенко Вадим Костянтинович),Орджонікідзевська міська рада,Дніпропетровська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""
"Громадянин України, народився 09.05.1970 р., освіта вища, безпартійний, ПАТ ""ОГЗК"", Начальник адміністративно-господарського відділу, місце проживання: м. Орджонікідзе, Дніпропетровська область.",(Міць Людмила Олексіївна),Орджонікідзевська міська рада,Дніпропетровська область,1,НЕТУДИХАТКА ОЛЕКСАНДР МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
"Громадянин України, народився 30.07.1986 р., освіта вища, член Радикальної партії Олега Ляшка, ПАТ ""Дніпропет-ровськгаз"", Юрисконсульт, місце проживання: м.Орджонікідзе, Дніпропетровська область.",(Ревуцький Андрій Степанович),Орджонікідзевська міська рада,Дніпропетровська область,1,КУРАСОВ СЕРГІЙ СЕРГІЙОВИЧ,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянин України, народився 06.03.1955 р., освіта вища, безпартійний, пенсіонер, місце проживання: м. Орджонікідзе, Дніпропетровська область.",(Ляшук Олег Олександрович),Орджонікідзевська міська рада,Дніпропетровська область,2,ШЕВЧЕНКО ВІКТОР ГЕОРГІЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 16.05.1969 р., освіта вища, член Партії ""Відродження"", ПАТ""ОГЗК"", Олександрівська збагачувальна фабрика, Майстер, місце проживання: м. Орджонікідзе, Дніпропетровська область.",(Сорокіна Людмила Миколаївна),Орджонікідзевська міська рада,Дніпропетровська область,2,БАРАННІК ІННА ПЕТРІВНА,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянка України, народилася 05.02.1957 р., освіта загальна середня, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Комунальний навчальний заклад середня школа №8, Заступник директора по господарству, місце проживання: м. Орджонікідзе, Дніпропетровська область.",(Гончаренко Юлія Олексіївна),Орджонікідзевська міська рада,Дніпропетровська область,2,БАДОВА НАТАЛІЯ ПЕТРІВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Каширний Станіслав Андрійович),Орджонікідзевська міська рада,Дніпропетровська область,2,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
