info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 21.01.1982 р., освіта вища, член Молодіжної партії України, ТОВ ""БЕК- ОФІС"", Директор, місце проживання: м. Краматорськ, Донецька обл.",(Ворощук Ольга Ігорівна),Краматорська міська рада,Донецька область,1,МАСАЛІТІН СЕРГІЙ МИКОЛАЙОВИЧ,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянка України, народилася 18.12.1963 р., освіта вища, безпартійна, Фізична особа-підприємець, місце проживання: м. Краматорськ, Донецька обл.",(Ржавський Володимир Іванович),Краматорська міська рада,Донецька область,1,КОРЕЦЬКА НАТАЛЯ ГРИГОРІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Шевченко Олександр Павлович),Краматорська міська рада,Донецька область,1,,ПАРТІЯ ПЕНСІОНЕРІВ УКРАЇНИ
,(Васфєєв Андрій Анатолійович),Краматорська міська рада,Донецька область,1,,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
,(Борозенцев Сергій Вікторович),Краматорська міська рада,Донецька область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Корнієнко Сергій Миколайович),Краматорська міська рада,Донецька область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 21.08.1964 р., освіта вища, безпартійний, Комунальний міський заклад ""Міська лікарня № 2"", Головний лікар, нейрохірург, місце проживання: м. Краматорськ, Донецька обл.",(Безсонний Андрій Олександрович),Краматорська міська рада,Донецька область,1,САВИНКОВ ВІТАЛІЙ ВІКТОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянка України, народилася 26.05.1964 р., освіта вища, безпартійна, Товариство з обмеженою відповідальністю "" Укр будтехпроект"", Головний інженер, місце проживання: м. Краматорськ, Донецька обл.",(Маслов Костянтин Володимирович),Краматорська міська рада,Донецька область,1,КОШЕЛЄВА ІРИНА ОЛЕКСАНДРІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
"Громадянин України, народився 25.09.1982 р., освіта вища, безпартійний, Централізована бухгалтерія, Публічне акціонерне товариство ""Ново краматорський машинобудівний завод"", Начальник, місце проживання: м. Краматорськ, Донецька обл.",(Суков Геннадій Сергійович),Краматорська міська рада,Донецька область,1,ЄРМОЛЬЧЕНКО ОЛЕКСАНДР ЮРІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Хвостиков Кирило Леонідович),Краматорська міська рада,Донецька область,1,,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""
"Громадянин України, народився 15.01.1981 р., освіта вища, член Молодіжної партії України, Фізична особа- підприємець Калугін Ілля Павлович, місце проживання: м. Краматорськ, Донецька обл.",(Ворощук Ольга Ігорівна),Краматорська міська рада,Донецька область,2,КАЛУГІН ІЛЛЯ ПАВЛОВИЧ,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянин України, народився 19.07.1979 р., освіта професійно-технічна, безпартійний, Товариство з обмеженою відповідальністю РСК ""Незабудка"", Головний інженер, місце проживання: м. Краматорськ, Донецька обл.",(Ржавський Володимир Іванович),Краматорська міська рада,Донецька область,2,ТЕРТИЧНИЙ ІВАН ВОЛОДИМИРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Шевченко Олександр Павлович),Краматорська міська рада,Донецька область,2,,ПАРТІЯ ПЕНСІОНЕРІВ УКРАЇНИ
"Громадянин України, народився 23.08.1967 р., освіта вища, член Партії Сергія Тігіпка ""Сильна Україна"", Підприємець, місце проживання: м. Краматорськ, Донецька обл.",(Васфєєв Андрій Анатолійович),Краматорська міська рада,Донецька область,2,ЛЯЩЕНКО ЄВГЕНІЙ ВЯЧЕСЛАВОВИЧ,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
"Громадянин України, народився 22.06.1972 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ПАО ""НКМЗ"", Контролер, місце проживання: м. Краматорськ, Донецька обл.",(Борозенцев Сергій Вікторович),Краматорська міська рада,Донецька область,2,ЗУБАНЬ ЮРІЙ ВАЛЕРІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Корнієнко Сергій Миколайович),Краматорська міська рада,Донецька область,2,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 16.08.1952 р., освіта вища, безпартійний, Загальна освітня школа № 16, Директор, місце проживання: м. Краматорськ, Донецька обл.",(Безсонний Андрій Олександрович),Краматорська міська рада,Донецька область,2,ШЕВЧЕНКО ЛЕОНІД ГРИГОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Маслов Костянтин Володимирович),Краматорська міська рада,Донецька область,2,,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
"Громадянка України, народилася 04.06.1959 р., освіта загальна середня, член Політичної Партії ""Опозиційний блок"", Адміністративне господарське управління, Публічне акціонерне товариство ""Ново краматорський машинобудівний завод"", Старший комірник, місце проживання: м. Краматорськ, Донецька обл.",(Суков Геннадій Сергійович),Краматорська міська рада,Донецька область,2,СОБОЛЄВА НІНА МИХАЙЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Хвостиков Кирило Леонідович),Краматорська міська рада,Донецька область,2,,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""
,(Ворощук Ольга Ігорівна),Краматорська міська рада,Донецька область,3,,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянин України, народився 19.10.1977 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: м. Краматорськ, Донецька обл.",(Ржавський Володимир Іванович),Краматорська міська рада,Донецька область,3,БОНДАРЧУК АРТЕМ ОЛЕКСАНДРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Шевченко Олександр Павлович),Краматорська міська рада,Донецька область,3,,ПАРТІЯ ПЕНСІОНЕРІВ УКРАЇНИ
"Громадянин України, народився 14.10.1967 р., освіта професійно-технічна, член Партії Сергія Тігіпка ""Сильна Україна"", ТОВ ""Краматорський інститут з проектування заводів важкого машинобудування ""КРАММАШПРОЕКТ"", директор, місце проживання: м. Дружківка, Донецька обл.",(Васфєєв Андрій Анатолійович),Краматорська міська рада,Донецька область,3,КУТЕПОВ МИКОЛА ЛЕОНІДОВИЧ,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
"Громадянин України, народився 08.12.1975 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ЗСУ, стрілець, місце проживання: м. Краматорськ, Донецька обл.",(Борозенцев Сергій Вікторович),Краматорська міська рада,Донецька область,3,ІВАНОВ ОЛЕКСІЙ ВАЛЕНТИНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Корнієнко Сергій Миколайович),Краматорська міська рада,Донецька область,3,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 28.12.1973 р., освіта вища, член Політичної партії ""Наш край"", Центр первинної медіко-санітарної допомоги № 1, Головний лікар, місце проживання: м. Краматорськ, Донецька обл.",(Безсонний Андрій Олександрович),Краматорська міська рада,Донецька область,3,ВЛАСЕНКО ОЛЕКСАНДР БОРИСОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
