info,first_candidate,council,region,county_number,full_name,party
"Громадянка України, народилася 11.01.1991 р., освіта вища, безпартійна, Родинська міська рада, Завідуюча відділу бухгалтерського обліку та звітності, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,1,СВІСТУНОВА ЯНА ВАДИМІВНА,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянин України, народився 15.11.1968 р., освіта професійно-технічна, безпартійний, тимчасово не працює, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Бондал Наталія Володимирівна),Родинська міська рада,Донецька область,1,ЖУРАВЕЛЬ АНАТОЛІЙ ВАСИЛЬОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Соснова Людмила Володимирівна),Родинська міська рада,Донецька область,1,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянка України, народилася 17.03.1984 р., освіта вища, безпартійна, Будинок творчості м.Родинське, Директор, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,2,КУБИШЕВА ЮЛІЯ ВОЛОДИМИРІВНА,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянка України, народилася 16.05.1953 р., освіта професійно-технічна, безпартійна, пенсіонер, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Бондал Наталія Володимирівна),Родинська міська рада,Донецька область,2,ШИРЯЄВА ВАЛЕНТИНА ВІКТОРІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 15.08.1975 р., освіта професійно-технічна, безпартійна, Домогосподарка, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Соснова Людмила Володимирівна),Родинська міська рада,Донецька область,2,МАЗУРИК ОКСАНА ВІКТОРІВНА,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 25.09.1982 р., освіта вища, член Молодіжної партії України, Родинський професійний ліцей, Директор, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,3,КОЛОБОВ ОЛЕКСАНДР СЕРГІЙОВИЧ,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянка України, народилася 12.08.1971 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", ДП ВК ""Краснолиманська"", Нач. зміни служби збагачування, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Бондал Наталія Володимирівна),Родинська міська рада,Донецька область,3,ПРИДАТКО ЛАРИСА АНАТОЛІЇВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Соснова Людмила Володимирівна),Родинська міська рада,Донецька область,3,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 10.03.1980 р., освіта вища, член Молодіжної партії України, тимчасово безробітний, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,4,САМОЙЛОВ СЕРГІЙ МИХАЙЛОВИЧ,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянка України, народилася 23.08.1984 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Заст. директора з ВР, вчитель української мови та літератури, ЗОШ № 35 м. Родинське, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Бондал Наталія Володимирівна),Родинська міська рада,Донецька область,4,КОВАЛЕНКО ОЛЬГА ОЛЕКСАНДРІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Соснова Людмила Володимирівна),Родинська міська рада,Донецька область,4,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянка України, народилася 11.12.1968 р., освіта вища, безпартійна, Родинська ЗОШ №36, Вчитель початкових класів, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,5,ТОІЧКІНА ОЛЬГА РАФІКІВНА,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянин України, народився 05.01.1980 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", ДТЄК ш. Новотроїцька, Інспектор, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Бондал Наталія Володимирівна),Родинська міська рада,Донецька область,5,ШЕРСТЮК КОСТЯНТИН ОЛЕКСАНДРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Соснова Людмила Володимирівна),Родинська міська рада,Донецька область,5,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 28.01.1980 р., освіта вища, член Молодіжної партії України, ТОВ ""АЛЬТТРАНС"", Директор, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,6,КІКТЄВ ІГОР ОЛЕКСАНДРОВИЧ,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянка України, народилася 18.07.1956 р., освіта вища, безпартійна, пенсіонер, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Бондал Наталія Володимирівна),Родинська міська рада,Донецька область,6,АРТЬОМЕНКО ВАЛЕНТИНА ПЕТРІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Соснова Людмила Володимирівна),Родинська міська рада,Донецька область,6,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянка України, народилася 26.01.1985 р., освіта вища, член Молодіжної партії України, КП Родинська житлова управляюча компанія, Майстер, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,7,КІКТЄВА ОЛЬГА ВОЛОДИМИРІВНА,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянка України, народилася 26.05.1951 р., освіта вища, безпартійна, пенсіонер, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Бондал Наталія Володимирівна),Родинська міська рада,Донецька область,7,ПИСКУНОВА ТАМАРА ВАСИЛІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Соснова Людмила Володимирівна),Родинська міська рада,Донецька область,7,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 22.03.1983 р., освіта вища, безпартійний, ПСП ""ШУ Білозерська"" шахта ""Новодонецька"", Начальник дільниці РГА-2, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,8,САЄНКО ДМИТРО ВАЛЕНТИНОВИЧ,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянка України, народилася 01.04.1965 р., освіта вища, безпартійна, ДНЗ №37 ""Оленка"", Завідувач, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Бондал Наталія Володимирівна),Родинська міська рада,Донецька область,8,ІЩУК ЛЮДМИЛА ВІКТОРІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Соснова Людмила Володимирівна),Родинська міська рада,Донецька область,8,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянка України, народилася 23.05.1990 р., освіта вища, член Молодіжної партії України, ДП""ВК ""Краснолиманська"", Машиніст підйомних установок, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,9,АНДРІЙЧЕНКО КАТЕРИНА СЕРГІЇВНА,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
"Громадянин України, народився 25.08.1983 р., освіта вища, безпартійний, ТОВ ""Мульти-Топ СВ"", Директор, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Бондал Наталія Володимирівна),Родинська міська рада,Донецька область,9,ШЕВЧЕНКО ОЛЕГ ЮРІЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Соснова Людмила Володимирівна),Родинська міська рада,Донецька область,9,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 21.06.1982 р., освіта вища, член Молодіжної партії України, Приватний підприємець, місце проживання: м.Родинське, м.Красноармійськ, Донецька обл.",(Федоров Сергій Володимирович),Родинська міська рада,Донецька область,10,ОРІЩЕНКО ДЕНИС СЕРГІЙОВИЧ,МОЛОДІЖНА ПАРТІЯ УКРАЇНИ
