info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 24.03.1969 р., освіта вища, безпартійний, пенсіонер, місце проживання: м.Коростень, Житомирська обл.",(Волківський Анатолій Миколайович),Коростенська міська рада,Житомирська область,1,ОНИЩЕНКО ЮРІЙ ГЕОРГІЙОВИЧ,НАРОДНА ПАРТІЯ
"Громадянин України, народився 18.08.1982 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", ТОВ ""Ельтех 2000"", директор, місце проживання: м.Коростень, Житомирська обл.",(Яблонський Павло Євгенійович),Коростенська міська рада,Житомирська область,1,БІЛОШИЦЬКИЙ ОЛЕКСІЙ АНАТОЛІЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Бовсунівський Василь Миколайович),Коростенська міська рада,Житомирська область,1,,ПАРТІЯ ЗАХИСНИКІВ ВІТЧИЗНИ
,(Юшкевич Віталій Федорович),Коростенська міська рада,Житомирська область,1,,"ПАРТІЯ ""СПРАВЕДЛИВІСТЬ"""
"Громадянин України, народився 03.05.1976 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ТОВ ""Коростеньвторресурси"", директор, місце проживання: м.Коростень, Житомирська обл.",(Боровков Володимир Валентинович),Коростенська міська рада,Житомирська область,1,ВОЛОВЧУК ЕДУАРД ВАЛЕРІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Підвашецький Іван Григорович),Коростенська міська рада,Житомирська область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 07.05.1987 р., освіта вища, безпартійний, Приватне підприємство ""МAXIMA COMP"", генеральний директор, місце проживання: м. Коростень, Житомирська обл.",(Куницький Василь Іванович),Коростенська міська рада,Житомирська область,1,БОНДАРЧУК МАКСИМ ВАЛЕРІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянин України, народився 01.06.1954 р., освіта вища, безпартійний, Виконачий комітет Коростенської міської ради, начальник відділу культури і туризму, місце проживання: м.Коростень, Житомирська обл.",(Кіт Роман Остапович),Коростенська міська рада,Житомирська область,1,БЕРКОВИЧ ЛЕОНІД ПЕТРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НОВА ДЕРЖАВА"""
"Громадянин України, народився 17.04.1978 р., освіта вища, член Політичної Партії ""Опозиційний блок"", ТОВ ""Арсенал-центр"", директор Коростенської філії ТОВ ""Арсенал-центр"", місце проживання: м.Коростень, Житомирська обл.",(Ходаківський Віктор Васильович),Коростенська міська рада,Житомирська область,1,КЛИМЧУК СЕРГІЙ ЮРІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
"Громадянин України, народився 10.09.1980 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА"", не працює, місце проживання: м. Коростень Житомирська обл.",(Стащук Володимир Анатолійович),Коростенська міська рада,Житомирська область,1,МОСОЯН СЕРГІЙ ГРИГОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА"""
