info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 26.07.1981 р., освіта загальна середня, безпартійний, тимчасово не працює, місце проживання: м. Новоград-Волинський, Житомирська обл.",(Усенко Микола Григорович),Новоград-Волинська міська рада,Житомирська область,1,ГРИМАЛЮК ІГНАТІЙ ВОЛОДИМИРОВИЧ,НАРОДНА ПАРТІЯ
"Громадянин України, народився 30.10.1972 р., освіта професійно-технічна, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Товариство обмеженої відповідальності ""Пролісок"", директор, місце проживання: м. Новоград-Волинський, Житомирська обл.",(Ващенко Олег Миколайович),Новоград-Волинська міська рада,Житомирська область,1,МАХНОВЕЦЬКИЙ ОЛЕКСАНДР ПЕТРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Герус Володимир Адамович),Новоград-Волинська міська рада,Житомирська область,1,,ПАРТІЯ ПЕНСІОНЕРІВ УКРАЇНИ
"Громадянин України, народився 12.10.1977 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Новоград-Волинське територіальне медичне об’єднання, лікар, місце проживання: м. Новоград-Волинський, Житомирська обл.",(Новиченко Юрій Борисович),Новоград-Волинська міська рада,Житомирська область,1,ПАВЛОВСЬКИЙ МИКОЛА СТАНІСЛАВОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Кізюшкін Тарас Олегович),Новоград-Волинська міська рада,Житомирська область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Коломієць Дмитро Михайлович),Новоград-Волинська міська рада,Житомирська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""НОВА ДЕРЖАВА"""
,(Хапчук Сергій Вікторович),Новоград-Волинська міська рада,Житомирська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
,(Журбенко Олег Іванович),Новоград-Волинська міська рада,Житомирська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
"Громадянка України, народилася 01.03.1977 р., освіта вища, безпартійна, Товариство з обмеженою відповідальністю ""Укреколайн"", Виконавчий директор, місце проживання: м. Новоград-Волинський, Житомирська обл.",(Рассадін Андрій Олексійович),Новоград-Волинська міська рада,Житомирська область,1,ТЕСТОВА НАДІЯ ВОЛОДИМИРІВНА,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
"Громадянка України, народилася 21.12.1960 р., освіта вища, безпартійна, Новоград-Волинська ЗОШ №6, Директор, місце проживання: м. Новоград-Волинський, Житомирська обл.",(Остапчук Василь Іванович),Новоград-Волинська міська рада,Житомирська область,1,КИРЧУН НАТАЛІЯ МИКОЛАЇВНА,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
