info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 18.07.1965 р., освіта професійно-технічна, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Охоронна фірма ""Саламандра"", Охоронець, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Понижан Олександр Йосипович),Свалявська міська рада,Закарпатська область,1,ПАПП ВІКТОР ДИЗИДЕРІЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 10.11.1951 р., освіта вища, безпартійний, ДП ""Санаторій Квітка Полонини"", Головний лікар, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Гомокі Золтан Золтанович),Свалявська міська рада,Закарпатська область,1,ГАНИНЕЦЬ ПАВЛО ПАВЛОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 04.11.1955 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Фізична особа - підприємець, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Ковальчук Євген Євгенович),Свалявська міська рада,Закарпатська область,1,ЩУРИН ВІКТОР ІВАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянка України, народилася 02.07.1961 р., освіта вища, безпартійна, ДРАЦС Свалявського РУЮ, начальник відділу ДРАЦС, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Куцина Мирослав Мирославович),Свалявська міська рада,Закарпатська область,1,ТИМКІВ НАДІЯ ІВАНІВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянка України, народилася 08.02.1971 р., освіта середня спеціальна, безпартійна, Свалявська ЦРЛ, Медична сестра, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Попик Ярослав Іванович),Свалявська міська рада,Закарпатська область,1,СВИСТАК ОКСАНА ІЛАРІОНІВНА,ПОЛІТИЧНА ПАРТІЯ ЄДИНИЙ ЦЕНТР
,(Попович Василь Володимирович),Свалявська міська рада,Закарпатська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
"Громадянин України, народився 17.10.1964 р., освіта незакінчена вища, безпартійний, ТОВ "" Рейкар"", двірник, місце проживання: Закарпатська область, Свалявський район, м. Свалява",(Сокаль Іван Володимирович),Свалявська міська рада,Закарпатська область,1,КОРНІЄНКО СЕРГІЙ ЮРІЙОВИЧ,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Ляхович Світлана Василівна),Свалявська міська рада,Закарпатська область,1,,"УКРАЇНСЬКА ПАРТІЯ ""ЗЕЛЕНА ПЛАНЕТА"""
"Громадянин України, народився 29.11.1970 р., освіта професійно-технічна, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", тимчасово не працює, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Понижан Олександр Йосипович),Свалявська міська рада,Закарпатська область,2,ЛЯВИНЕЦЬ ВАСИЛЬ АНТОНІЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 01.01.1947 р., освіта вища, безпартійний, Свалявська ЦРЛ, Лікар травматолог, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Гомокі Золтан Золтанович),Свалявська міська рада,Закарпатська область,2,СОФІЛКАНИЧ ВАСИЛЬ ВАСИЛЬОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянка України, народилася 30.08.1970 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ТОВ ""Іберус Ліс"", Директор, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Ковальчук Євген Євгенович),Свалявська міська рада,Закарпатська область,2,ЦАЛАН ВАЛЕНТИНА МИХАЙЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Куцина Мирослав Мирославович),Свалявська міська рада,Закарпатська область,2,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 11.07.1979 р., освіта вища, безпартійний, ТОВ ""Слако"", Директор, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Попик Ярослав Іванович),Свалявська міська рада,Закарпатська область,2,РЯШКО ВЯЧЕСЛАВ МИХАЙЛОВИЧ,ПОЛІТИЧНА ПАРТІЯ ЄДИНИЙ ЦЕНТР
"Громадянин України, народився 06.07.1982 р., освіта вища, член Політичної Партії ""Опозиційний блок"", Готель ""Рейкарц Поляна"", Масажист, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Попович Василь Володимирович),Свалявська міська рада,Закарпатська область,2,САФРОНОВ АНДРІЙ ВОЛОДИМИРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Сокаль Іван Володимирович),Свалявська міська рада,Закарпатська область,2,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Ляхович Світлана Василівна),Свалявська міська рада,Закарпатська область,2,,"УКРАЇНСЬКА ПАРТІЯ ""ЗЕЛЕНА ПЛАНЕТА"""
"Громадянин України, народився 16.06.1975 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", ТОВ ""Сантіна"", Бухгалтер, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Понижан Олександр Йосипович),Свалявська міська рада,Закарпатська область,3,ЖУК ВІКТОР МИКОЛАЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 06.12.1958 р., освіта середня спеціальна, безпартійний, Виробничий кооператив ""Експрес"", Голова, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Гомокі Золтан Золтанович),Свалявська міська рада,Закарпатська область,3,РУСИН ІВАН ІВАНОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянка України, народилася 21.04.1983 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", МПП ""Алекс"", Бухгалтер, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Ковальчук Євген Євгенович),Свалявська міська рада,Закарпатська область,3,КОРОСТЕЛЬОВА МИРОСЛАВА ВАЛЕРІЇВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Куцина Мирослав Мирославович),Свалявська міська рада,Закарпатська область,3,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 03.07.1989 р., освіта вища, безпартійний, П.П. Попович Н.Й., Економіст, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Попик Ярослав Іванович),Свалявська міська рада,Закарпатська область,3,САКАЛЬ ОЛЕГ ПАВЛОВИЧ,ПОЛІТИЧНА ПАРТІЯ ЄДИНИЙ ЦЕНТР
"Громадянин України, народився 08.04.1982 р., освіта вища, безпартійний, Суб’єкт підприємницької діяльності-приватний підприємець, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Попович Василь Володимирович),Свалявська міська рада,Закарпатська область,3,ЗУБИК ВІТАЛІЙ ІГОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Сокаль Іван Володимирович),Свалявська міська рада,Закарпатська область,3,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Ляхович Світлана Василівна),Свалявська міська рада,Закарпатська область,3,,"УКРАЇНСЬКА ПАРТІЯ ""ЗЕЛЕНА ПЛАНЕТА"""
"Громадянин України, народився 18.03.1975 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Самозайнята особа - адвокат, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Понижан Олександр Йосипович),Свалявська міська рада,Закарпатська область,4,ПУКІШ ОЛЕКСАНДР ВАСИЛЬОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 03.04.1975 р., освіта вища, член Партії ""Відродження"", КП ВУКГ, Головний інженер, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Гомокі Золтан Золтанович),Свалявська міська рада,Закарпатська область,4,МУДРІЯН ІВАН ІВАНОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянка України, народилася 01.07.1959 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Свалявська ЗОШ №1 ст. І-ІІІ, Заступник директора по навчально-виховній роботі, місце проживання: Закарпатська область, Свалявський р-н, с.Неліпино",(Ковальчук Євген Євгенович),Свалявська міська рада,Закарпатська область,4,ГЕРГЕЛЬ ОКСАНА ФЕДОРІВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянка України, народилася 01.07.1981 р., освіта вища, безпартійна, Приватний підприємець, юрист, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Куцина Мирослав Мирославович),Свалявська міська рада,Закарпатська область,4,КОШЕЛЯ НАТАЛІЯ ВОЛОДИМИРІВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 20.02.1970 р., освіта вища, безпартійний, Фізична особа -підприємець, Фізична особа- підприємець, місце проживання: Закарпатська область,Свалявський район, м.Свалява",(Попик Ярослав Іванович),Свалявська міська рада,Закарпатська область,4,ГРИГА ВОЛОДИМИР ЮРІЙОВИЧ,ПОЛІТИЧНА ПАРТІЯ ЄДИНИЙ ЦЕНТР
"Громадянин України, народився 21.05.1990 р., освіта вища, безпартійний, ДНСН України, Начальник караулу, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Попович Василь Володимирович),Свалявська міська рада,Закарпатська область,4,РУСИН ІВАН ІВАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Сокаль Іван Володимирович),Свалявська міська рада,Закарпатська область,4,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Ляхович Світлана Василівна),Свалявська міська рада,Закарпатська область,4,,"УКРАЇНСЬКА ПАРТІЯ ""ЗЕЛЕНА ПЛАНЕТА"""
"Громадянин України, народився 25.01.1957 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", пенсіонер МВС, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Понижан Олександр Йосипович),Свалявська міська рада,Закарпатська область,5,ІВАШКО ВІКТОР ПАВЛОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 18.09.1975 р., освіта вища, член Партії ""Відродження"", фізична особа підприємець, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Гомокі Золтан Золтанович),Свалявська міська рада,Закарпатська область,5,БІДЗІЛЯ ІВАН МИХАЙЛОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 24.03.1966 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ТОВ ""Фенікс - І"", Директор, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Ковальчук Євген Євгенович),Свалявська міська рада,Закарпатська область,5,ОВРАМЕНКО МИКОЛА БОРИСОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Куцина Мирослав Мирославович),Свалявська міська рада,Закарпатська область,5,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянка України, народилася 19.12.1980 р., освіта середня спеціальна, безпартійна, Фізична особа- підприємець, місце проживання: Закарпатська область, Свалявський район, м.Свалява",(Попик Ярослав Іванович),Свалявська міська рада,Закарпатська область,5,ШВАРЦ ЛЮДМИЛА ВАСИЛІВНА,ПОЛІТИЧНА ПАРТІЯ ЄДИНИЙ ЦЕНТР
,(Попович Василь Володимирович),Свалявська міська рада,Закарпатська область,5,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Сокаль Іван Володимирович),Свалявська міська рада,Закарпатська область,5,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Ляхович Світлана Василівна),Свалявська міська рада,Закарпатська область,5,,"УКРАЇНСЬКА ПАРТІЯ ""ЗЕЛЕНА ПЛАНЕТА"""
