info,first_candidate,council,region,county_number,full_name,party
"Громадянка України, народилася 29.03.1974 р., освіта загальна середня, безпартійна, тимчасово не працює, місце проживання: м.Чоп, Закарпатська обл.",(Балог Оскар Оскарович),Чопська міська рада,Закарпатська область,1,КУТНИЧ КЛАРА ВАСИЛІВНА,"""КМКС"" ПАРТІЯ УГОРЦІВ УКРАЇНИ"
"Громадянка України, народилася 19.08.1975 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", викладач, Чопська дитяча музична школа, місце проживання: м.Чоп, Закарпатська обл.",(Чолавин Михайло Васильович),Чопська міська рада,Закарпатська область,1,АДАМ МАРІАННА ФЕРЕНЦІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 20.08.1959 р., освіта вища, член Партії ""Відродження"", Експлуатаційне вагонне депо Ужгород, Заступник головного бухгалтера, місце проживання: м. Чоп, Закарпатська обл.",(Островський Ігор Володимирович),Чопська міська рада,Закарпатська область,1,ФЕДЯ ГАННА КОРНЕЛІВНА,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
,(Скакодуб Анатолій Іванович),Чопська міська рада,Закарпатська область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 09.07.1974 р., освіта вища, безпартійний, Приватний підприємець, місце проживання: м.Чоп, Закарпатська обл.",(Цар Галина Василівна),Чопська міська рада,Закарпатська область,1,ТРОМПАК ВАСИЛЬ ВАСИЛЬОВИЧ,ПОЛІТИЧНА ПАРТІЯ ЄДИНИЙ ЦЕНТР
"Громадянин України, народився 25.08.1966 р., освіта професійно-технічна, безпартійний, Чопський прикордонний загін в/ч 1493, Службовець, місце проживання: м.Чоп, Закарпатська обл.",(Гіжан Ігор Степанович),Чопська міська рада,Закарпатська область,1,БАЛОГ ЗОЛТАН ЗОЛТАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Товт Іштван Сергійович),Чопська міська рада,Закарпатська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Яцина Павло Ернестович),Чопська міська рада,Закарпатська область,1,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянин України, народився 10.03.1990 р., освіта загальна середня, безпартійний, сімейне фермерство, фермер, місце проживання: м.Чоп, Закарпатська обл.",(Балог Оскар Оскарович),Чопська міська рада,Закарпатська область,2,БАЛОГ БАРНА БАРНАШОВИЧ,"""КМКС"" ПАРТІЯ УГОРЦІВ УКРАЇНИ"
"Громадянка України, народилася 15.12.1972 р., освіта загальна середня, безпартійна, домогосподарка, місце проживання: м.Чоп, Закарпатська обл.",(Чолавин Михайло Васильович),Чопська міська рада,Закарпатська область,2,БАЛОГ ІЛОНА КАРЛІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 22.02.1965 р., освіта вища, член Партії ""Відродження"", Ужгородська дистанція колії ПЧ-16, Старший шляховий майстер, місце проживання: м. Чоп, Закарпатська обл.",(Островський Ігор Володимирович),Чопська міська рада,Закарпатська область,2,ПЕРДУК СТЕПАН СТЕПАНОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
,(Скакодуб Анатолій Іванович),Чопська міська рада,Закарпатська область,2,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянка України, народилася 08.12.1988 р., освіта загальна середня, безпартійна, тимчасово не працює, місце проживання: м.Чоп, Закарпатська обл.",(Цар Галина Василівна),Чопська міська рада,Закарпатська область,2,ЛАКАТОШ ВАЛЕРІЯ ОЛЕКСАНДРІВНА,ПОЛІТИЧНА ПАРТІЯ ЄДИНИЙ ЦЕНТР
,(Гіжан Ігор Степанович),Чопська міська рада,Закарпатська область,2,,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Товт Іштван Сергійович),Чопська міська рада,Закарпатська область,2,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Яцина Павло Ернестович),Чопська міська рада,Закарпатська область,2,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянка України, народилася 16.03.1956 р., освіта професійно-технічна, безпартійна, пенсіонер, місце проживання: м.Чоп, Закарпатська обл.",(Балог Оскар Оскарович),Чопська міська рада,Закарпатська область,3,БЕЛОВИЧ ОЛЕНА ВАСИЛІВНА,"""КМКС"" ПАРТІЯ УГОРЦІВ УКРАЇНИ"
"Громадянин України, народився 29.10.1977 р., освіта професійно-технічна, безпартійний, тимчасово не працює, місце проживання: м.Чоп, Закарпатська обл.",(Чолавин Михайло Васильович),Чопська міська рада,Закарпатська область,3,ЦЕКУС АТТІЛА ОЛЕКСАНДРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 14.11.1985 р., освіта вища, член Партії ""Відродження"", Ужгородська дистанція колії ПЧ-16, Головний інженер, місце проживання: м. Чоп, Закарпатська обл.",(Островський Ігор Володимирович),Чопська міська рада,Закарпатська область,3,ОЛЕНИШАК МИХАЙЛО ВАСИЛЬОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
,(Скакодуб Анатолій Іванович),Чопська міська рада,Закарпатська область,3,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 06.01.1963 р., освіта вища, член політичної партії Єдиний Центр, Виконком Чопської міської ради, Заступник міського голови міста Чоп, місце проживання: м.Чоп, Закарпатська обл.",(Цар Галина Василівна),Чопська міська рада,Закарпатська область,3,БУРКУШ АРПАД АРПАДОВИЧ,ПОЛІТИЧНА ПАРТІЯ ЄДИНИЙ ЦЕНТР
"Громадянин України, народився 25.02.1970 р., освіта середня спеціальна, безпартійний, тимчасово не працює, місце проживання: м.Чоп, Закарпатська обл.",(Гіжан Ігор Степанович),Чопська міська рада,Закарпатська область,3,НІМЦІВ МИХАЙЛО ВАСИЛЬОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Товт Іштван Сергійович),Чопська міська рада,Закарпатська область,3,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
"Громадянка України, народилася 20.09.1994 р., освіта вища, член Радикальної партії Олега Ляшка, тимчасово не працює, місце проживання: м.Ужгород, Закарпатська обл.",(Яцина Павло Ернестович),Чопська міська рада,Закарпатська область,3,ПЕТНЕГАЗІ СОФІЯ ОЛЕКСАНДРІВНА,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянин України, народився 26.08.1978 р., освіта вища, безпартійний, Редакція ЗОД ТРК ""Тиса-1"", редактор, місце проживання: м.Чоп, Закарпатська обл.",(Балог Оскар Оскарович),Чопська міська рада,Закарпатська область,4,БЕРЕЦКІ ТОМАШ ЙОСИПОВИЧ,"""КМКС"" ПАРТІЯ УГОРЦІВ УКРАЇНИ"
"Громадянин України, народився 05.10.1970 р., освіта вища, безпартійний, директор стадіону, стадіон ""Локомотив"" м Чоп, місце проживання: м.Чоп, Закарпатська обл.",(Чолавин Михайло Васильович),Чопська міська рада,Закарпатська область,4,БЕРЦИК АТТІЛА ЗОЛТАНОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 22.01.1979 р., освіта вища, член Партії ""Відродження"", Ужгородська дистанція електропостачання, Керівник служби охорони праці, місце проживання: м. Чоп, Закарпатська обл.",(Островський Ігор Володимирович),Чопська міська рада,Закарпатська область,4,ІВАНОВСЬКИЙ ЯРОСЛАВ ВОЛОДИМИРОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
,(Скакодуб Анатолій Іванович),Чопська міська рада,Закарпатська область,4,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 06.11.1956 р., освіта загальна середня, безпартійний, пенсіонер, місце проживання: м.Чоп, Закарпатська обл.",(Цар Галина Василівна),Чопська міська рада,Закарпатська область,4,БУЧИНА СТЕПАН ІВАНОВИЧ,ПОЛІТИЧНА ПАРТІЯ ЄДИНИЙ ЦЕНТР
"Громадянин України, народився 27.07.1971 р., освіта середня спеціальна, безпартійний, ДП ""Львівська залізниця"", Агент постачальник, місце проживання: с. Соломоново, Ужгородського р-н, Закарпатська обл.",(Гіжан Ігор Степанович),Чопська міська рада,Закарпатська область,4,РОМАН ЕМЕРІХ ЕМЕРІХОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Товт Іштван Сергійович),Чопська міська рада,Закарпатська область,4,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Яцина Павло Ернестович),Чопська міська рада,Закарпатська область,4,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Балог Оскар Оскарович),Чопська міська рада,Закарпатська область,5,,"""КМКС"" ПАРТІЯ УГОРЦІВ УКРАЇНИ"
"Громадянин України, народився 24.09.1978 р., освіта професійно-технічна, безпартійний, Машиніст електровоза, Локомотивне депо м.Мукачеве, місце проживання: м.Чоп, Закарпатська обл.",(Чолавин Михайло Васильович),Чопська міська рада,Закарпатська область,5,ШУШКАНИЧ МИХАЙЛО ЮРІЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 11.06.1983 р., освіта вища, член Партії ""Відродження"", Експлуатаційне вагонне депо Ужгород, Начальник ППВ Батьово, місце проживання: м. Чоп, Закарпатська обл.",(Островський Ігор Володимирович),Чопська міська рада,Закарпатська область,5,РАЙДА ІВАН ІВАНОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 28.10.1968 р., освіта вища, безпартійний, Локомотивне депо м.Мукачеве, Машиніст електровоза, місце проживання: м.Чоп, Закарпатська обл.",(Скакодуб Анатолій Іванович),Чопська міська рада,Закарпатська область,5,ЦИЦА ВАСИЛЬ ІГНАТОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
