info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 07.04.1961 р., освіта вища, безпартійний, Софіївська ВК № 55 Державної пенітенціарної служби України Запорізької області, Спеціаліст по виконанню режимних вимог, місце проживання: Запорізька обл. Вільнянський р-н м.Вільнянськ",(Бумажний Валерій Анатолійович),Вільнянська міська рада,Запорізька область,1,ГАНОШЕНКО АНАТОЛІЙ ЯКОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 28.11.1963 р., освіта вища, безпартійна, Вільнянська виправна колонія управління ДПтС України в Запорізькій області №20, Спеціаліст з кадрової роботи, місце проживання: Запорізька обл. Вільнянський р-н, м.Вільнянськ",(Яблуновський Юрій Георгійович),Вільнянська міська рада,Запорізька область,1,РОМАНЬКО НЕЛЯ ПАВЛІВНА,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
,(Дудченко Віктор Михайлович),Вільнянська міська рада,Запорізька область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 24.11.1972 р., освіта вища, безпартійний, ТОВ ""Агропро інвест 08"", Директор, місце проживання: Запорізька область, м.Запоріжжя",(Хмара Ольга Володимирівна),Вільнянська міська рада,Запорізька область,1,КАЦЮБА КОСТЯНТИН ВОЛОДИМИРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянин України, народився 01.01.1972 р., освіта вища, безпартійний, Публічне акціонерне товариство ""Запоріжсталь"", Начальник цеху, місце проживання: Запорізька область, Вільнянський район, м.Вільнянськ",(Гуляєв Валерій Іванович),Вільнянська міська рада,Запорізька область,1,БАРАНОВ ОЛЕКСІЙ ВЯЧЕСЛАВОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Бережний Дмитро Васильович),Вільнянська міська рада,Запорізька область,1,,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ЛЮДЕЙ"""
,(Доценко Олег Іванович),Вільнянська міська рада,Запорізька область,1,,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Нікітенко Валерій Іванович),Вільнянська міська рада,Запорізька область,1,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянин України, народився 27.02.1976 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", пенсіонер, місце проживання: Запорізька обл. Вільнянський р-н м.Вільнянськ",(Бумажний Валерій Анатолійович),Вільнянська міська рада,Запорізька область,2,БАБИЧ СЕРГІЙ МИКОЛАЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 27.11.1965 р., освіта вища, безпартійний, пенсіонер, місце проживання: Запорізька обл. Вільнянський р-н, м.Вільнянськ",(Яблуновський Юрій Георгійович),Вільнянська міська рада,Запорізька область,2,КОТ ОЛЕГ АНАТОЛІЙОВИЧ,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
