info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 03.03.1965 р., освіта вища, безпартійний, Виконавчий орган Київської міської ради (Київська міська державна адміністрація), Директор департамент житлово-комунальної інфраструктури, місце проживання: м. Вишгород",(Войтович Тамара Олександрівна),Вишгородська міська рада,Київська область,1,НОВИЦЬКИЙ ДМИТРО ЮРІЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 19.05.1992 р., освіта вища, безпартійний, КПЖ і КГ Вишгородської міської ради, Електротехнік, місце проживання: м. Вишгород, Київська обл.",(Момот Олексій Вікторович),Вишгородська міська рада,Київська область,1,ЯКОВЕНКО ВАСИЛЬ ВАСИЛЬОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
"Громадянин України, народився 24.01.1964 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Вишгородська ЗОШ №1 І-ІІІ ст.., Вчитель історії України, місце проживання: м. Вишгород",(Іванов Трохим Сергійович),Вишгородська міська рада,Київська область,1,ЛУБ’ЯНИЙ ВАЛЕРІЙ ІВАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 20.10.1987 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", ПрАТ ""Енергопромінвест"", керівник виробничо-технічного відділу, місце проживання: м.Вишгород",(Парчук Валентина Григорівна),Вишгородська міська рада,Київська область,1,КРУКОВЕЦЬ ВЛАДИСЛАВ ВАДИМОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянка України, народилася 23.10.1978 р., освіта вища, безпартійна, Громадсько-політична газета ""Наша версія"", Журналіст, місце проживання: с. Хотянівка",(Нечитайло Надія Володимирівна),Вишгородська міська рада,Київська область,1,ПАВЛОВСЬКА ЮЛІЯ ВЛАДИСЛАВІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
"Громадянин України, народився 17.07.1974 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: м. Вишгород",(Побідаш Марина Андріївна),Вишгородська міська рада,Київська область,1,БЕЗА ОЛЕКСАНДР БОГДАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 06.09.1957 р., освіта вища, безпартійний, АТ ""БРОКБІЗНЕСБАНК"", Начальник управління, місце проживання: м. Вишгород",(Шубко Інна Василівна),Вишгородська міська рада,Київська область,1,МИКОЛЕНКО ДМИТРО ВОЛОДИМИРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянин України, народився 09.01.1977 р., освіта вища, безпартійний, ТОВ ""Компанія Інтек"", Директор, місце проживання: м. Київ",(Коба Сергій Олександрович),Вишгородська міська рада,Київська область,1,ХОЖАЙ СЕРГІЙ ГРИГОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НОВІ ОБЛИЧЧЯ"""
,(Бражнікова Тетяна Олексіївна),Вишгородська міська рада,Київська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
"Громадянин України, народився 13.12.1960 р., освіта загальна середня, член Політичної Партії ""Опозиційний блок"", пенсіонер, місце проживання: м. Вишгород",(Калінкін Максим Миколайович),Вишгородська міська рада,Київська область,1,АНДРЮЩЕНКО МИКОЛА ІВАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Трашкун Олена Петрівна),Вишгородська міська рада,Київська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ЛЮДЕЙ"""
"Громадянка України, народилася 16.09.1985 р., освіта загальна середня, безпартійна, тимчасово не працює, місце проживання: м. Вишгород",(Вознюк Віктор Вікторович),Вишгородська міська рада,Київська область,1,РУЖИНСЬКА АННА ВАСИЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
"Громадянин України, народився 18.10.1983 р., освіта вища, член Радикальної партії Олега Ляшка, Хенкель Баутехнік (Українв), Майстер виробництва, місце проживання: м.Вишгород",(Пінчук Сергій Миколайович),Вишгородська міська рада,Київська область,1,МЕЛЬНИК ОЛЕКСАНДР МИКОЛАЙОВИЧ,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
