info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 24.08.1971 р., освіта вища, безпартійний, ТОВ ""Компанія БІОПЛЮС"", Директор, місце проживання: Київська обл. м. Переяслав-Хмельницький р-н",(Костін Тарас Вікторович),Переяслав-Хмельницька міська рада,Київська область,1,ТІТОВ ОЛЕГ ВОЛОДИМИРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 24.11.1978 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Член Асоціації учасників бойових дій та учасників АТО Переяславщини, місце проживання: Київська область, м. Переяслав-Хмельницький",(Оверчук Лідія Миколаївна),Переяслав-Хмельницька міська рада,Київська область,1,ФЕДОРЕНКО СЕРГІЙ АНАТОЛІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянка України, народилася 29.03.1981 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", м. Київ, ресторан ""Арарат""., обліковець, місце проживання: Київська область, м. Переяслав-Хмельницький",(Сиворко Михайло Михайлович),Переяслав-Хмельницька міська рада,Київська область,1,ДЕМ’ЯНЕНКО ОКСАНА МИКОЛАЇВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 13.09.1989 р., освіта загальна середня, безпартійний, Приватний Підприємець, місце проживання: Україна, Київська обл., м. Переяслав-Хмельницький",(Мевша Віктор Петрович),Переяслав-Хмельницька міська рада,Київська область,1,МИСЕВРА ВАЛЕНТИН ВАЛЕРІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 14.05.1976 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАРОДНА ОПОЗИЦІЯ"", Укртелеком, Електрик, місце проживання: Україна, Київська обл., м.Переяслав-Хмельницький",(Гладка Галина Миколаївна),Переяслав-Хмельницька міська рада,Київська область,1,ЗАЧЕПА ОЛЕГ МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАРОДНА ОПОЗИЦІЯ"""
,(Корпанюк Микола Павлович),Переяслав-Хмельницька міська рада,Київська область,1,,ПОЛІТИЧНА ПАРТІЯ НАРОДНИЙ РУХ УКРАЇНИ
"Громадянин України, народився 30.05.1961 р., освіта вища, безпартійний, ТОВ ""Сімекс Альянс Україна"", Директор, місце проживання: Київська обл., м. Переяслав-Хмельницький",(Бочарін Петро Петрович),Переяслав-Хмельницька міська рада,Київська область,1,САУЛКО ВЯЧЕСЛАВ ВОЛОДИМИРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянин України, народився 01.08.1986 р., освіта професійно-технічна, безпартійний, ФОП, Приватний підприємець, місце проживання: Україна Київська обл., м. Переяслав-Хмельницький",(Янчук Ігор Вікторович),Переяслав-Хмельницька міська рада,Київська область,1,ПЕТРУНЯ ОЛЕКСАНДР АНАТОЛІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НОВІ ОБЛИЧЧЯ"""
,(Іващенко Максим Миколайович),Переяслав-Хмельницька міська рада,Київська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
,(Макаров Михайло Олександрович),Переяслав-Хмельницька міська рада,Київська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
