info,first_candidate,council,region,county_number,full_name,party
,(Азаров Володимир Володимирович),Лисичанська міська рада,Луганська область,1,,НАРОДНА ПАРТІЯ
"Громадянин України, народився 15.04.1969 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: м. Луганськ, Луганська область",(Шведов Віталій Миколайович),Лисичанська міська рада,Луганська область,1,ХАПЧУК ВОЛОДИМИР ЄВГЕНОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 20.02.1954 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", пенсіонер, місце проживання: м. Лисичанськ, Луганська область",(Теросипов Вячеслав Михайлович),Лисичанська міська рада,Луганська область,1,ОЛЕФІРЕНКО НАДІЯ ВАСИЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Кирилов Павло Васильович),Лисичанська міська рада,Луганська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
"Громадянин України, народився 19.03.1969 р., освіта вища, безпартійний, ПАТ ""Лисичанський склозавод ""Пролетарій"", Начальник комерційного відділу, місце проживання: м. Лисичанськ, Луганська область",(Шальнєв Андрій Леонідович),Лисичанська міська рада,Луганська область,1,САВЧЕНКО ОЛЕКСАНДР ОЛЕКСАНДРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
,(Михайлов Олександр Володимирович),Лисичанська міська рада,Луганська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Михайлов Дмитро Володимирович),Лисичанська міська рада,Луганська область,1,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Азаров Володимир Володимирович),Лисичанська міська рада,Луганська область,2,,НАРОДНА ПАРТІЯ
"Громадянин України, народився 29.09.1971 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", приватне підприємство ""Полімерторг"", директор, місце проживання: м.Лисичанськ, Луганська обл.",(Шведов Віталій Миколайович),Лисичанська міська рада,Луганська область,2,РОМАНОВ ОЛЕГ ІВАНОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Теросипов Вячеслав Михайлович),Лисичанська міська рада,Луганська область,2,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 31.07.1980 р., освіта професійно-технічна, безпартійний, БПСМОП ""Луганськ - 1"", Міліціонер-водій, місце проживання: м.Лисичанськ, Луганська обл..",(Кирилов Павло Васильович),Лисичанська міська рада,Луганська область,2,КОВАЛЕНКО АРТЕМ МИХАЙЛОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
