info,first_candidate,council,region,county_number,full_name,party
"Громадянка України, народилася 18.10.1986 р., освіта вища, безпартійна, Львівський національний університет ім.І.Франка, Аспірант, місце проживання: Львівська обл., Пустомитівський р-н, с.Сокільники",(Адамик Петро Михайлович),Львівська міська рада,Львівська область,1,ГЛУХОВСЬКА ВІРА ЗЕНОНІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 17.06.1990 р., освіта вища, безпартійний, Комунальна 3-я стоматологічна поліклініка м. Львова, юрисконсульт, місце проживання: м. Львів",(Елейко Тарас Васильович),Львівська міська рада,Львівська область,1,ЦЯСТУН РОМАН ПЕТРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
"Громадянка України, народилася 22.09.1985 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Львівський національний університет імені Івана Франка, Методист кафедри іноземних мов, місце проживання: Львівська обл., Пустомитівський р-н., с.Оброшино",(Мужилівський Михайло Дмитрович),Львівська міська рада,Львівська область,1,САМУСЕВИЧ ОЛЕНА МИКОЛАЇВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 30.05.1986 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Свобода"", Фізична особа-підприємець, місце проживання: місто Львів",(Лопачак Маркіян Романович),Львівська міська рада,Львівська область,1,ЛОЗИНСЬКИЙ ВОЛОДИМИР ОЛЕКСАНДРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 28.10.1989 р., освіта вища, безпартійний, ТОВ ""Академія кормів"", Менеджер, місце проживання: м. Львів",(Веремчук Валерій Миколайович),Львівська міська рада,Львівська область,1,МАКОГІН АНДРІЙ ІГОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
"Громадянин України, народився 22.02.1952 р., освіта вища, безпартійний, Середня загальноосвітня школа №34 ім.Маркіяна Шашкевича, Директор, місце проживання: м.Львів",(Забарило Анатолій Юрійович),Львівська міська рада,Львівська область,1,ГРИНЧУК РОМАН ЗІНОВІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
,(Яськів Олег Ігорович),Львівська міська рада,Львівська область,1,,ПОЛІТИЧНА ПАРТІЯ ДЕМАЛЬЯНС (ДЕМОКРАТИЧНИЙ АЛЬЯНС)
"Громадянин України, народився 29.11.1956 р., освіта вища, член політичної партії Народний Рух України, тимчасово не працює, місце проживання: м. Львів",(Мартинюк Ігор Олександрович),Львівська міська рада,Львівська область,1,БОГОНІС МИХАЙЛО ЯРОСЛАВОВИЧ,ПОЛІТИЧНА ПАРТІЯ НАРОДНИЙ РУХ УКРАЇНИ
"Громадянин України, народився 07.01.1965 р., освіта вища, безпартійний, Ресторан ""Крамер"", Заступник директора Ресторану ""Крамер"", місце проживання: м.Львів",(Баляш Олег Григорійович),Львівська міська рада,Львівська область,1,КАТИК ОЛЕГ СТЕПАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянка України, народилася 14.08.1960 р., освіта професійно-технічна, безпартійна, Перший український театр для дітей та юнацтва, Помічник художнього керівника, місце проживання: м. Львів",(Садовий Андрій Іванович),Львівська міська рада,Львівська область,1,АРТИМ’ЯК ІРИНА БРОНІСЛАВІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
