info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 16.12.1973 р., освіта вища, безпартійний, Відділ освіти Миколаївської РДА, Керівник групи ЦОШ, місце проживання: Львівська обл., Миколаївський р-н, м. Миколаїв",(Конечний Мирон Мирославович),Миколаївська міська рада,Львівська область,1,ЛЕХОВИЧ ОЛЕГ ІВАНОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 31.07.1978 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ОКЗ ""Психлікарня"", інженер, місце проживання: Львівська обл., м. Миколаїв",(Соколова Світлана Юріївна),Миколаївська міська рада,Львівська область,1,ІВАШКІВ ОСТАП ЯРОСЛАВОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянка України, народилася 17.01.1984 р., освіта вища, безпартійна, Миколаївська міська рада, Провідний спеціаліст з обліку і звітності, місце проживання: Львівська область, Миколаївський район, м.Миколаїв",(Галущак Михайло Михайлович),Миколаївська міська рада,Львівська область,1,ФОРОСТИНА ІРИНА АНДРІЇВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 17.12.1967 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"", ТзОВ ""Дрогобицький завод залізобетонних виробів"", Провідний інженер з охорони праці, місце проживання: Львівська обл. Миколаївський район м.Миколаїв",(Городецький Мирон Мар’янович),Миколаївська міська рада,Львівська область,1,МАРЕЧКО МИКОЛА МИХАЙЛОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
"Громадянка України, народилася 05.09.1980 р., освіта вища, безпартійна, Миколаївська КЦРЛ, медсестра, місце проживання: Львівська обл. м. Миколаїв",(Москалюк Зоряна Миколаївна),Миколаївська міська рада,Львівська область,1,ІЛИК ВІРА СТЕПАНІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 12.01.1977 р., освіта професійно-технічна, безпартійний, ""Безпека сервіс"", Охоронець, місце проживання: Львівська обл., м.Миколаїв",(Підлужний Василь Михайлович),Миколаївська міська рада,Львівська область,1,ГОРДІЄНКО ОЛЕГ ВІКТОРОВИЧ,ПОЛІТИЧНА ПАРТІЯ НАРОДНИЙ РУХ УКРАЇНИ
,(Петренко Любов Василівна),Миколаївська міська рада,Львівська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянин України, народився 02.10.1970 р., освіта вища, безпартійний, Фізична-особа-підприємець, місце проживання: Львівська область, м. Миколаїв",(Ткач Богдан Ігорович),Миколаївська міська рада,Львівська область,1,КОВАЛЬЧУК СЕРГІЙ МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ"""
"Громадянин України, народився 04.12.1981 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", тимчасово не працює, місце проживання: Львівська область, Миколаївський район",(Баранецький Андрій Зіновійович),Миколаївська міська рада,Львівська область,1,ТАНЧАК АНДРІЙ ЯРОСЛАВОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Савчин Володимир Зіновійович),Миколаївська міська рада,Львівська область,1,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
