info,first_candidate,council,region,county_number,full_name,party
,(Горошко Марія Дмитрівна),Угнівська міська рада,Львівська область,1,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Вусик Наталія Євстахіївна),Угнівська міська рада,Львівська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
,(Антоняк Марія Петрівна),Угнівська міська рада,Львівська область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Матвіяс Оксана Йосипівна),Угнівська міська рада,Львівська область,1,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Олійник Мирослава Олександрівна),Угнівська міська рада,Львівська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
,(Стельмах Тетяна Володимирівна),Угнівська міська рада,Львівська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 04.08.1986 р., освіта професійно-технічна, безпартійний, ДП ""Львів вугілля"" Шахта ""Степова"", Контролер КПП, місце проживання: м.Угнів",(Мороз Ігор Васильович),Угнівська міська рада,Львівська область,1,НІМЕЦЬ РУСЛАН МИХАЙЛОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Непшій Оксана Михайлівна),Угнівська міська рада,Львівська область,1,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянин України, народився 14.10.1977 р., освіта вища, безпартійний, Угнівський АБЛ, Заступник директора, місце проживання: м.Угнів",(Горошко Марія Дмитрівна),Угнівська міська рада,Львівська область,2,МУЗИКА ВОЛОДИМИР ВАСИЛЬОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 14.09.1989 р., освіта вища, безпартійна, Угнівський АБЛ, Бібліотекар, місце проживання: м.Угнів",(Вусик Наталія Євстахіївна),Угнівська міська рада,Львівська область,2,ЯНЧУК ТЕТЯНА КОСТЯНТИНІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
,(Антоняк Марія Петрівна),Угнівська міська рада,Львівська область,2,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Матвіяс Оксана Йосипівна),Угнівська міська рада,Львівська область,2,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Олійник Мирослава Олександрівна),Угнівська міська рада,Львівська область,2,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
,(Стельмах Тетяна Володимирівна),Угнівська міська рада,Львівська область,2,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 04.12.1964 р., освіта професійно-технічна, безпартійний, Угнівська СЗШ І-ІІІст., завгосп, місце проживання: м.Угнів",(Мороз Ігор Васильович),Угнівська міська рада,Львівська область,2,МАРКІВ АНДРІЙ СТЕПАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Непшій Оксана Михайлівна),Угнівська міська рада,Львівська область,2,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Горошко Марія Дмитрівна),Угнівська міська рада,Львівська область,3,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 09.10.1994 р., освіта загальна середня, безпартійний, тимчасово не працює, місце проживання: м.Угнів",(Вусик Наталія Євстахіївна),Угнівська міська рада,Львівська область,3,ГЕВИЧ ІВАН ІВАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
,(Антоняк Марія Петрівна),Угнівська міська рада,Львівська область,3,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Матвіяс Оксана Йосипівна),Угнівська міська рада,Львівська область,3,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Олійник Мирослава Олександрівна),Угнівська міська рада,Львівська область,3,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
,(Стельмах Тетяна Володимирівна),Угнівська міська рада,Львівська область,3,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 03.03.1985 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: м.Угнів",(Мороз Ігор Васильович),Угнівська міська рада,Львівська область,3,ЛУЦЕНКО ПАВЛО ВІКТОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Непшій Оксана Михайлівна),Угнівська міська рада,Львівська область,3,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Горошко Марія Дмитрівна),Угнівська міська рада,Львівська область,4,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 26.06.1995 р., освіта вища, безпартійний, навчається, місце проживання: м.Угнів",(Вусик Наталія Євстахіївна),Угнівська міська рада,Львівська область,4,ГРУБА ОЛЕГ ЯРОСЛАВОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
"Громадянин України, народився 16.02.1985 р., освіта професійно-технічна, безпартійний, Збройні сили України, військовослужбовець, місце проживання: м.Угнів",(Антоняк Марія Петрівна),Угнівська міська рада,Львівська область,4,СВИСТОВИЧ МИХАЙЛО МИХАЙЛОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Матвіяс Оксана Йосипівна),Угнівська міська рада,Львівська область,4,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Олійник Мирослава Олександрівна),Угнівська міська рада,Львівська область,4,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
,(Стельмах Тетяна Володимирівна),Угнівська міська рада,Львівська область,4,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 16.03.1982 р., освіта професійно-технічна, безпартійний, Приватний підприємець, місце проживання: м.Угнів",(Мороз Ігор Васильович),Угнівська міська рада,Львівська область,4,КОСТІВ ВОЛОДИМИР МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Непшій Оксана Михайлівна),Угнівська міська рада,Львівська область,4,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Горошко Марія Дмитрівна),Угнівська міська рада,Львівська область,5,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Вусик Наталія Євстахіївна),Угнівська міська рада,Львівська область,5,,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
"Громадянка України, народилася 10.02.1983 р., освіта вища, безпартійна, тимчасово не працює, місце проживання: м.Угнів",(Антоняк Марія Петрівна),Угнівська міська рада,Львівська область,5,ДУЛЯНИЦЬКА ЛЕСЯ МИКОЛАЇВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 03.01.1955 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Свобода"", Угнівький АБЛ, майстер, місце проживання: м.Угнів",(Матвіяс Оксана Йосипівна),Угнівська міська рада,Львівська область,5,КОВАЛЬСЬКИЙ АНДРІЙ СТЕПАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Олійник Мирослава Олександрівна),Угнівська міська рада,Львівська область,5,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
,(Стельмах Тетяна Володимирівна),Угнівська міська рада,Львівська область,5,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 21.03.1977 р., освіта професійно-технічна, безпартійний, ДП ""Львів вугілля"" Шахта "" Степова"", Контролер КПП, місце проживання: с. Заставне",(Мороз Ігор Васильович),Угнівська міська рада,Львівська область,5,ОЛІЙНИК БОГДАН ІВАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Непшій Оксана Михайлівна),Угнівська міська рада,Львівська область,5,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянка України, народилася 03.04.1960 р., освіта вища, безпартійна, Угнівська міська рада, землевпорядник, місце проживання: м.Угнів",(Горошко Марія Дмитрівна),Угнівська міська рада,Львівська область,6,ВОЛОСКО МАРІЯ МИХАЙЛІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Вусик Наталія Євстахіївна),Угнівська міська рада,Львівська область,6,,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
"Громадянка України, народилася 12.05.1971 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Угнівський АБЛ, викладач, місце проживання: м.Угнів",(Антоняк Марія Петрівна),Угнівська міська рада,Львівська область,6,ОСОБА ГАЛИНА МИКОЛАЇВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 24.06.1962 р., освіта загальна середня, член політичної партії Всеукраїнське об’єднання ""Свобода"", тимчасово не працює, місце проживання: м.Угнів",(Матвіяс Оксана Йосипівна),Угнівська міська рада,Львівська область,6,НІМЕЦЬ МИХАЙЛО ВАСИЛЬОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Олійник Мирослава Олександрівна),Угнівська міська рада,Львівська область,6,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
,(Стельмах Тетяна Володимирівна),Угнівська міська рада,Львівська область,6,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 26.04.1953 р., освіта загальна середня, безпартійний, Не працює, місце проживання: м. Угнів,",(Мороз Ігор Васильович),Угнівська міська рада,Львівська область,6,АНТОНЮК ЮРІЙ ПАВЛОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Непшій Оксана Михайлівна),Угнівська міська рада,Львівська область,6,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Горошко Марія Дмитрівна),Угнівська міська рада,Львівська область,7,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Вусик Наталія Євстахіївна),Угнівська міська рада,Львівська область,7,,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
,(Антоняк Марія Петрівна),Угнівська міська рада,Львівська область,7,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Матвіяс Оксана Йосипівна),Угнівська міська рада,Львівська область,7,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Олійник Мирослава Олександрівна),Угнівська міська рада,Львівська область,7,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
,(Стельмах Тетяна Володимирівна),Угнівська міська рада,Львівська область,7,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 03.07.1951 р., освіта вища, безпартійний, пенсіонер, місце проживання: м. Львів",(Мороз Ігор Васильович),Угнівська міська рада,Львівська область,7,ЖУК ІВАН МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Непшій Оксана Михайлівна),Угнівська міська рада,Львівська область,7,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянка України, народилася 20.08.1964 р., освіта середня спеціальна, безпартійна, пенсіонер, місце проживання: м.Угнів",(Горошко Марія Дмитрівна),Угнівська міська рада,Львівська область,8,КОРОБКО ОКСАНА БОГДАНІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Вусик Наталія Євстахіївна),Угнівська міська рада,Львівська область,8,,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
,(Антоняк Марія Петрівна),Угнівська міська рада,Львівська область,8,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Матвіяс Оксана Йосипівна),Угнівська міська рада,Львівська область,8,,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Олійник Мирослава Олександрівна),Угнівська міська рада,Львівська область,8,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
,(Стельмах Тетяна Володимирівна),Угнівська міська рада,Львівська область,8,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКА ПОЗИЦІЯ"""
"Громадянин України, народився 17.02.1963 р., освіта професійно-технічна, безпартійний, Не працює, місце проживання: м.Рава-Руська",(Мороз Ігор Васильович),Угнівська міська рада,Львівська область,8,ГОЛЯКА ВОЛОДИМИР МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Непшій Оксана Михайлівна),Угнівська міська рада,Львівська область,8,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
,(Горошко Марія Дмитрівна),Угнівська міська рада,Львівська область,9,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
