info,first_candidate,council,region,county_number,full_name,party
"Громадянка України, народилася 09.01.1979 р., освіта вища, безпартійна, Теплодарська міська рада., Начальник відділу з питань надзвичайних ситуацій та цивільного захисту населення, місце проживання: м.Теплодар, Одеська область",(Чуйко Олександр Миколайович),Теплодарська міська рада,Одеська область,1,БАСКАКОВА ІРИНА ПАВЛІВНА,НАРОДНА ПАРТІЯ
"Громадянка України, народилася 15.09.1961 р., освіта вища, безпартійна, ТОВ ""Теплодаренерго"", Провідний економіст, місце проживання: м. Теплодар, Одеська область",(Єлісоветський Євген Дмитрович),Теплодарська міська рада,Одеська область,1,ЧЕРЕВКО НІЛА БОРИСІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 02.03.1994 р., освіта професійно-технічна, член Партії ""Відродження"", тимчасово не працює, місце проживання: м.Теплодар, Одеська область",(Лазарев Денис Володимирович),Теплодарська міська рада,Одеська область,1,КОБЮК ЄВА МИКОЛАЇВНА,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянка України, народилася 20.12.1979 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", М.Теплодарська ЗОШ №1, Викладач, місце проживання: м.Теплодар, Одеська область",(Кучерук Олексій Васильович),Теплодарська міська рада,Одеська область,1,КУЗНЕЦОВА ІРИНА АНДРІЇВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 12.07.1951 р., освіта загальна середня, безпартійний, пенсіонер, місце проживання: м.Теплодар, Одеська область",(Овчарук Вадим Володимирович),Теплодарська міська рада,Одеська область,1,ШАПОВАЛЕНКО ВАЛЕРІЙ ГРИГОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянка України, народилася 24.01.1953 р., освіта професійно-технічна, безпартійна, пенсіонер, місце проживання: м. Теплодар Одеська область",(Жовнір Михайло Васильович),Теплодарська міська рада,Одеська область,1,ПАХОЛЮК ТЕТЯНА ПЕТРІВНА,"ПОЛІТИЧНА ПАРТІЯ ""КОНКРЕТНИХ СПРАВ"""
,(Кирилюк Вячеслав Васильович),Теплодарська міська рада,Одеська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Заворотнюк Ірина Миколаївна),Теплодарська міська рада,Одеська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""НОВА ДЕРЖАВА"""
"Громадянка України, народилася 27.02.1984 р., освіта вища, член Політичної Партії ""Опозиційний блок"", Навчальний методичний центр професійної технічної освіти., Методист, місце проживання: м.Теплодар., Одеська область",(Алексійчук Олександр Анатолійович),Теплодарська міська рада,Одеська область,1,КОСТРОВА ОКСАНА ПАВЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
"Громадянка України, народилася 05.06.1974 р., освіта професійно-технічна, член Радикальної партії Олега Ляшка, тимчасово не працює, Заступник голови ТМО РПЛ, місце проживання: м. Іллічівськ, Одеська обл.",(Голімбієвський Олег Миколайович),Теплодарська міська рада,Одеська область,1,РУДЕНКО ОЛЬГА МИКОЛАЇВНА,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
