info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 14.11.1971 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Нововодолазьке міськміжрайонне управління Головного Управління Держсанепідслужби у Харківській області, Головний спеціаліст санітарно-гігієнічного відділу, місце проживання: м. Валки, Валківський район, Харківська область",(Харченко Олександр Леонідович),Валківська міська рада,Харківська область,1,КОЛМИК ЮРІЙ ВАСИЛЬОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 28.01.1958 р., освіта вища, безпартійна, Валківське районне відділення Фонду страхування від нещасних випадків на виробництві України, Головний бухгалтер, місце проживання: м. Валки, Валківський район, Харківська область",(Яцина Юрій Дмитрович),Валківська міська рада,Харківська область,1,КАБАНЦОВА ЛЮДМИЛА ПЕТРІВНА,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 13.09.1949 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", пенсіонер, місце проживання: м. Валки, Валківський район, Харківська область",(Литвин Сергій Іванович),Валківська міська рада,Харківська область,1,КУПЕРМАН ОЛЕКСАНДР СЕРГІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 07.08.1987 р., освіта вища, безпартійний, Зміївська філія ПАТ ""Харківгаз"", майстер абонентного відділу, місце проживання: м. Валки, Валківський район, Харківська область",(Кривич Антоніна Іванівна),Валківська міська рада,Харківська область,1,СУХАНОВ ОЛЕГ ОЛЕГОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Лях Галина Яковлівна),Валківська міська рада,Харківська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""НОВА ДЕРЖАВА"""
"Громадянин України, народився 21.03.1973 р., освіта середня спеціальна, член Політичної партії ""Сила людей"", Соціальний працівник, місце проживання: с. Високопілля, Валківський район, Харківська область",(Яровой Олександр Іванович),Валківська міська рада,Харківська область,1,ГОРДІЄНКО ДМИТРО МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ЛЮДЕЙ"""
"Громадянка України, народилася 21.05.1987 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""СОЦІАЛІСТИ"", КП ""Благоустрій"", Економіст, місце проживання: м. Валки, Валківський район, Харківська область",(Музиченко Павло Володимирович),Валківська міська рада,Харківська область,1,КРИВОРУЧКА ВІКТОРИЯ ВОЛОДИМИРІВНА,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""
,(Деркач Юрій Миколайович),Валківська міська рада,Харківська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА ПАРТІЯ УКРАЇНИ"""
"Громадянин України, народився 28.06.1979 р., освіта загальна середня, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Фізична особа-підприємець, місце проживання: м. Валки, Валківський район, Харківська область",(Харченко Олександр Леонідович),Валківська міська рада,Харківська область,2,КРИШТАЛЬ ПАВЛО МИКОЛАЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Яцина Юрій Дмитрович),Валківська міська рада,Харківська область,2,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
