info,first_candidate,council,region,county_number,full_name,party
"Громадянин України, народився 27.05.1975 р., освіта вища, безпартійний, Управління освіти, молоді та спорту Лозівської РДА в Харківській області, начальник, місце проживання: м. Лозова, Харківська обл.",(Коба Сергій Олексійович),Лозівська міська рада,Харківська область,1,МУЗИКА ВОЛОДИМИР МИКОЛАЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 28.08.1966 р., освіта вища, безпартійна, Лозівська міська рада Харківської області, секретар Лозівської міської ради, місце проживання: м. Лозова, Харківська обл.",(Ткаченко Тетяна Петрівна),Лозівська міська рада,Харківська область,1,ЗАПОРОЖЕЦЬ ТЕТЯНА ВАЛЕРІЇВНА,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
,(Нижник Андрій Миколайович),Лозівська міська рада,Харківська область,1,,ПАРТІЯ ПРОМИСЛОВЦІВ І ПІДПРИЄМЦІВ УКРАЇНИ
,(Іванова Валентина Вікторівна),Лозівська міська рада,Харківська область,1,,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
,(Гриньку Ольга Василівна),Лозівська міська рада,Харківська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛОНТЕРСЬКА ПАРТІЯ УКРАЇНИ"""
"Громадянка України, народилася 29.04.1971 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: м. Лозова, Харківська обл.",(Лукашенко Наталія Олександрівна),Лозівська міська рада,Харківська область,1,ЛАЗУРЕНКО ТЕТЯНА ВІКТОРІВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Войцехович Сергій Роланович),Лозівська міська рада,Харківська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянин України, народився 07.09.1942 р., освіта вища, безпартійний, пенсіонер, місце проживання: м. Лозова, Харківська обл.",(Мельник Олександр Олександрович),Лозівська міська рада,Харківська область,1,ВАЩЕНКО ВОЛОДИМИР ТЕРЕНТІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""НОВА ДЕРЖАВА"""
,(Хатамов Рустам Муроджонович),Лозівська міська рада,Харківська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ПАТРІОТ"""
,(Кушнір Юрій Вікторович),Лозівська міська рада,Харківська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ЛЮДЕЙ"""
"Громадянка України, народилася 18.08.1944 р., освіта вища, безпартійна, медичний центр ""Людмила"", лікар, місце проживання: м. Лозова, Харківська обл.",(Антипов Юрій Петрович),Лозівська міська рада,Харківська область,1,ЗАГАМУЛА РАЇСА АНДРІЇВНА,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""
"Громадянка України, народилася 16.01.1994 р., освіта загальна середня, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", тимчасово не працює, місце проживання: м. Харків",(Довгань Василь Євгенович),Лозівська міська рада,Харківська область,1,ЛУК’ЯНЧИКОВА ТЕТЯНА ВАСИЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
"Громадянка України, народилася 26.08.1962 р., освіта загальна середня, безпартійна, пенсіонер, місце проживання: м. Лозова, Харківська обл.",(Єгорова Тетяна Петрівна),Лозівська міська рада,Харківська область,1,НОМЕРОВСЬКА ОЛЬГА ІВАНІВНА,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянка України, народилася 08.04.1964 р., освіта вища, безпартійна, комунальний заклад охорони здоров’я ""Лозівська центральна районна лікарня"", завідуюча, місце проживання: м. Лозова, Харківська обл.",(Коба Сергій Олексійович),Лозівська міська рада,Харківська область,2,ЧЕРВОНА ОКСАНА АНАТОЛІЇВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 04.01.1966 р., освіта вища, безпартійний, Виконавчий комітет Лозівської міської ради Харківської області, заступник Лозівського міського голови, місце проживання: м. Лозова, Харківська обл.",(Ткаченко Тетяна Петрівна),Лозівська міська рада,Харківська область,2,НЕДІЛЬКО ОЛЕКСАНДР ГЕОРГІЙОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
,(Нижник Андрій Миколайович),Лозівська міська рада,Харківська область,2,,ПАРТІЯ ПРОМИСЛОВЦІВ І ПІДПРИЄМЦІВ УКРАЇНИ
,(Іванова Валентина Вікторівна),Лозівська міська рада,Харківська область,2,,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
,(Гриньку Ольга Василівна),Лозівська міська рада,Харківська область,2,,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛОНТЕРСЬКА ПАРТІЯ УКРАЇНИ"""
"Громадянин України, народився 30.05.1981 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Верховцевський центр механізації колійних робіт, інженер, місце проживання: м. Лозова, Харківська обл.",(Лукашенко Наталія Олександрівна),Лозівська міська рада,Харківська область,2,БІЛАНЧИК ІГОР ОРДИСЛАВОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Войцехович Сергій Роланович),Лозівська міська рада,Харківська область,2,,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянка України, народилася 07.07.1952 р., освіта вища, безпартійна, пенсіонер, місце проживання: м. Лозова, Харківська обл.",(Мельник Олександр Олександрович),Лозівська міська рада,Харківська область,2,КНИШ ВАЛЕНТИНА ОЛЕКСІЇВНА,"ПОЛІТИЧНА ПАРТІЯ ""НОВА ДЕРЖАВА"""
,(Хатамов Рустам Муроджонович),Лозівська міська рада,Харківська область,2,,"ПОЛІТИЧНА ПАРТІЯ ""ПАТРІОТ"""
,(Кушнір Юрій Вікторович),Лозівська міська рада,Харківська область,2,,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ЛЮДЕЙ"""
"Громадянин України, народився 03.10.1954 р., освіта середня спеціальна, безпартійний, ФОП ""Климович"", часний підприємець, місце проживання: м. Лозова, Харківська обл.",(Антипов Юрій Петрович),Лозівська міська рада,Харківська область,2,КЛИМОВИЧ ВІКТОР ЯНИСОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""
"Громадянин України, народився 02.07.1965 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", фізична особа-підприємець, місце проживання: м. Лозова, Харківська обл",(Довгань Василь Євгенович),Лозівська міська рада,Харківська область,2,СЕРГІЙЧУК ОЛЕКСАНДР ВАСИЛЬОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
"Громадянин України, народився 19.09.1962 р., освіта загальна середня, безпартійний, ООО ""Істок"", машиніст екскаватора, місце проживання: м. Лозова, Харківська обл.",(Єгорова Тетяна Петрівна),Лозівська міська рада,Харківська область,2,НОМЕРОВСЬКИЙ ОЛЕКСІЙ ОЛЕКСІЙОВИЧ,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянин України, народився 09.01.1974 р., освіта вища, безпартійний, Центр 6312 надання послуг, пов’язаних з використанням АТЗ м.Лозова при УДАІ ГУМВС України в Харківській області, начальник, місце проживання: м. Лозова, Харківська обл.",(Коба Сергій Олексійович),Лозівська міська рада,Харківська область,3,ПАЛЮХ ДМИТРО ПЕТРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 13.08.1955 р., освіта професійно-технічна, безпартійний, ПрАТ ""Лозовабуд"", директор, місце проживання: с. Катеринівка, Лозівський р-н, Харківська обл.",(Ткаченко Тетяна Петрівна),Лозівська міська рада,Харківська область,3,БІЛЕЦЬКИЙ АНАТОЛІЙ ПАВЛОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 07.04.1957 р., освіта професійно-технічна, безпартійний, Територіальний центр соціального обслуговування Лозівської міської ради, завідувач господарством, місце проживання: м. Лозова, Харківська обл.",(Нижник Андрій Миколайович),Лозівська міська рада,Харківська область,3,БУТЕНКО ГРИГОРІЙ ВАСИЛЬОВИЧ,ПАРТІЯ ПРОМИСЛОВЦІВ І ПІДПРИЄМЦІВ УКРАЇНИ
,(Іванова Валентина Вікторівна),Лозівська міська рада,Харківська область,3,,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
,(Гриньку Ольга Василівна),Лозівська міська рада,Харківська область,3,,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛОНТЕРСЬКА ПАРТІЯ УКРАЇНИ"""
"Громадянин України, народився 16.01.1976 р., освіта професійно-технічна, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", фізична особа-підприємець, місце проживання: м. Лозова, Харківська обл.",(Лукашенко Наталія Олександрівна),Лозівська міська рада,Харківська область,3,СЛАБУН ДМИТРО ВОЛОДИМИРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
,(Войцехович Сергій Роланович),Лозівська міська рада,Харківська область,3,,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
"Громадянка України, народилася 29.08.1946 р., освіта вища, безпартійна, пенсіонер, місце проживання: м. Лозова, Харківська обл.",(Мельник Олександр Олександрович),Лозівська міська рада,Харківська область,3,РОМІЦИНА ГАЛИНА МИХАЙЛІВНА,"ПОЛІТИЧНА ПАРТІЯ ""НОВА ДЕРЖАВА"""
"Громадянин України, народився 14.04.1993 р., освіта загальна середня, безпартійний, МЧП ""агросервіс"", менеджер, місце проживання: с. Кірове, Близнюківський р-н, Харківська обл.",(Хатамов Рустам Муроджонович),Лозівська міська рада,Харківська область,3,КОСОЛАПОВ АНТОН АНДРІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ПАТРІОТ"""
,(Кушнір Юрій Вікторович),Лозівська міська рада,Харківська область,3,,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ЛЮДЕЙ"""
,(Антипов Юрій Петрович),Лозівська міська рада,Харківська область,3,,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""
,(Довгань Василь Євгенович),Лозівська міська рада,Харківська область,3,,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
,(Єгорова Тетяна Петрівна),Лозівська міська рада,Харківська область,3,,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА
"Громадянин України, народився 01.11.1968 р., освіта вища, безпартійний, фізична особа - підприємець, місце проживання: м. Лозова, Харківська обл.",(Коба Сергій Олексійович),Лозівська міська рада,Харківська область,4,ЗЕЛЕНСЬКИЙ ВОЛОДИМИР ВОЛОДИМИРОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
,(Ткаченко Тетяна Петрівна),Лозівська міська рада,Харківська область,4,,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 30.01.1976 р., освіта професійно-технічна, безпартійний, тимчасово не працює, місце проживання: м. Лозова, Харківська обл.",(Нижник Андрій Миколайович),Лозівська міська рада,Харківська область,4,САЛЬНИКОВ ОЛЕКСАНДР ОЛЕКСАНДРОВИЧ,ПАРТІЯ ПРОМИСЛОВЦІВ І ПІДПРИЄМЦІВ УКРАЇНИ
"Громадянка України, народилася 31.01.1987 р., освіта вища, член Партії Сергія Тігіпка ""Сильна Україна"", тимчасово не працює, місце проживання: м. Лозова Харківська обл.",(Іванова Валентина Вікторівна),Лозівська міська рада,Харківська область,4,ШОПІНА ЛЕСЯ ВОЛОДИМИРІВНА,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
,(Гриньку Ольга Василівна),Лозівська міська рада,Харківська область,4,,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛОНТЕРСЬКА ПАРТІЯ УКРАЇНИ"""
