info,first_candidate,council,region,county_number,full_name,party
,(Аносов Юрій Михайлович),Кам'янець-Подільська міська рада,Хмельницька область,1,,АГРАРНА ПАРТІЯ УКРАЇНИ
,(Цвігун Борис Ярославович),Кам'янець-Подільська міська рада,Хмельницька область,1,,НАРОДНА ПАРТІЯ
"Громадянка України, народилася 06.07.1978 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", ДНЗ №8, завідувач, місце проживання: м. Кам’янець-Подільський, Хмельницька обл.",(Кобильник Василь Володимирович),Кам'янець-Подільська міська рада,Хмельницька область,1,ГАНУШКЕВИЧ ІННА БОРИСІВНА,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянин України, народився 20.02.1961 р., освіта вища, член Партії ""Відродження"", ""Рембудсервіс"", директор, місце проживання: м. Кам’янець-Подільський, Хмельницька обл.",(Слободян Валерій Анатолійович),Кам'янець-Подільська міська рада,Хмельницька область,1,ОБОДОВСЬКИЙ ЄВГЕН МИКОЛАЙОВИЧ,"ПАРТІЯ ""ВІДРОДЖЕННЯ"""
"Громадянин України, народився 16.05.1980 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", фізична особа-підприємець, місце проживання: м. Кам’янець-Подільський, Хмельницька обл.",(Ткач Олег Васильович),Кам'янець-Подільська міська рада,Хмельницька область,1,СІДОРОВ РОМАН ВІКТОРОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянка України, народилася 06.04.1959 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", тимчасово не працює, місце проживання: м. Кам’янець-Подільський, Хмельницька обл.",(Посітко Михайло Володимирович),Кам'янець-Подільська міська рада,Хмельницька область,1,СТАРЕНЬКА ОКСАНА МИКОЛАЇВНА,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
,(Дукаєв Хусейн Саідович),Кам'янець-Подільська міська рада,Хмельницька область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"""
"Громадянин України, народився 14.04.1970 р., освіта вища, безпартійний, Кам’янець-Подільський об’єднаний міський військовий комісаріат, відповідальний виконавець мобілізованого відділу, місце проживання: с. Черче, Чемеровецький р-н, Хмельницька обл.",(Конюшенко Андрій Олександрович),Кам'янець-Подільська міська рада,Хмельницька область,1,ВОЛКОВ РУСЛАН АНАТОЛІЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""ЗА КОНКРЕТНІ СПРАВИ"""
,(Коваль Данило Володимирович),Кам'янець-Подільська міська рада,Хмельницька область,1,,"ПОЛІТИЧНА ПАРТІЯ ""НАШ КРАЙ"""
,(Приступа Петро Адольфович),Кам'янець-Подільська міська рада,Хмельницька область,1,,"ПОЛІТИЧНА ПАРТІЯ ""НОВА ДЕРЖАВА"""
,(Гільовський Олег Володимирович),Кам'янець-Подільська міська рада,Хмельницька область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
"Громадянин України, народився 25.06.1959 р., освіта вища, член Політичної партії ""Рідне місто"", КП ""Міськтепловоденергія"", начальник дільниці ВНС, місце проживання: м. Кам’янець-Подільський, Хмельницька обл.",(Гаврилюк Василь Васильович),Кам'янець-Подільська міська рада,Хмельницька область,1,БЄЛИЙ ОЛЕГ АДАМОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""РІДНЕ МІСТО"""
"Громадянин України, народився 11.01.1978 р., освіта вища, безпартійний, Кам’янець-Подільський ОМВК, військовослужбовець ЗСУ, місце проживання: м. Кам’янець-Подільський, Хмельницька обл.",(Дюднєв Андрій Михайлович),Кам'янець-Подільська міська рада,Хмельницька область,1,АВІНОВ ВАСИЛЬ ЛЕОНІДОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
