info,first_candidate,council,region,county_number,full_name,party
"Громадянка України, народилася 02.09.1965 р., освіта професійно-технічна, безпартійна, Золотоніське РАЙСТ, Продавець, місце проживання: Черкаська обл. м.Золотоноша",(Кочмар Григорій Андрійович),Золотоніська міська рада,Черкаська область,1,ПОБИВАНЕЦЬ ТАМАРА АНДРІЇВНА,АГРАРНА ПАРТІЯ УКРАЇНИ
"Громадянин України, народився 18.04.1985 р., освіта вища, безпартійний, Золотоніська Міська Рада служба містобудів-ного кадастру, Начальник, місце проживання: Черкаська обл., м. Золотоноша",(Войцехівський Віталій Олександрович),Золотоніська міська рада,Черкаська область,1,ВІЗЕРСЬКИЙ СЕРГІЙ ОЛЕКСІЙОВИЧ,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""
"Громадянка України, народилася 05.08.1958 р., освіта середня спеціальна, член Партії Пенсіонерів України, Золотоноша БДЮТ, Керівник гуртка, місце проживання: Черкаська обл., м.Золотоноша",(Бобровський Віктор Михайлович),Золотоніська міська рада,Черкаська область,1,СЕВ’ЯН ЛЮБОВ МИКОЛАЇВНА,ПАРТІЯ ПЕНСІОНЕРІВ УКРАЇНИ
,(Булко Олена Павлівна),Золотоніська міська рада,Черкаська область,1,,"ПАРТІЯ СЕРГІЯ ТІГІПКА ""СИЛЬНА УКРАЇНА"""
,(Юрченко Тетяна Олексіївна),Золотоніська міська рада,Черкаська область,1,,"ПАРТІЯ ""СПРАВЕДЛИВІСТЬ"""
"Громадянин України, народився 13.05.1965 р., освіта вища, безпартійний, Міжрайонна оптова база, Директор МОТБ, місце проживання: Черкаська обл., Золотоніського р-ну, с. Деньги.",(Лисянський Олег Вікторович),Золотоніська міська рада,Черкаська область,1,МОЗГОВИЙ СЕРГІЙ МИКОЛАЙОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА"""
"Громадянин України, народився 26.01.1958 р., освіта середня спеціальна, член політичної партії Всеукраїнське об’єднання ""Свобода"", ТОВ ""ЛГЗ ""Злато-гор"", Бригадир ВГМ, місце проживання: Черкаська обл., м. Золотоноша,",(Слюсар Олексій Олександрович),Золотоніська міська рада,Черкаська область,1,МАКСИМЕНКО ПЕТРО ІВАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА"""
"Громадянин України, народився 15.11.1950 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""ЧЕРКАЩАНИ"", пенсіонер, місце проживання: м. Золотоноша, Черкаська обл.",(Ракітін Ігор Володимирович),Золотоніська міська рада,Черкаська область,1,СТЕПАНЮК ІВАН ІВАНОВИЧ,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ЧЕРКАЩАНИ"""
"Громадянка України, народилася 14.01.1987 р., освіта професійно-технічна, член Політичної партії ""Європейська партія України"", тимчасово не працює, місце проживання: Черкаська обл., м.Золотоноша",(Осадчий Вячеслав Віталійович),Золотоніська міська рада,Черкаська область,1,КАРПИЧ НАТАЛІЯ ОЛЕКСАНДРІВНА,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА ПАРТІЯ УКРАЇНИ"""
,(Мисенко Ігор Валерійович),Золотоніська міська рада,Черкаська область,1,,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК"""
